level,power
30,567.1
30,584.1
30,451.2
29,499.7
30,619.3
30,592.5
30,495.3
30,488.4
30,487.1
30,475.9
30,460.9
29,504
29,502.3
29,480
29,314.5
30,441.5
30,552.9
30,401.8
26,299.4
30,678.6
29,357.6
29,385.5
27,465.1
30,467.7
30,553
30,591.5
30,544.1
25,346.8
30,4868
26,321.5
30,493.7
30,411.5
30,421.7
25,356.9
24,227.7
28,385
29,431.4
24,218.1
29,440.9
28,226.1
30,460
27,361
23,241.4
28,333.3
26,316.2
30,571.2
27,357.8
25,253.9
16,35.4
28,378
27,448.6
25,10
30,494.9
25,191.1
27,397.1
27,390.5
29,330.8
29,351.6
27,272.2
23,159.4
30,433.4
28,380.3
26,270.4
25,270
29,285.2
26,246
30,493.1
30,402.2
25,193.9
27,312.7
