,level,power,date
0,30,990.0,2023-05-26
1,30,730.0,2023-05-26
2,30,762.1,2023-05-26
3,30,764.0,2023-05-26
4,30,662.1,2023-05-26
5,30,1062.0,2023-05-26
6,30,733.0,2023-05-26
7,30,716.0,2023-05-26
8,30,714.9,2023-05-26
9,30,635.1,2023-05-26
10,30,632.5,2023-05-26
11,30,630.6,2023-05-26
12,30,625.6,2023-05-26
13,30,568.6,2023-05-26
14,30,511.1,2023-05-26
15,30,483.4,2023-05-26
16,30,480.9,2023-05-26
17,30,455.1,2023-05-26
18,29,481.6,2023-05-26
19,30,813.1,2023-05-26
20,30,765.9,2023-05-26
21,30,743.7,2023-05-26
22,30,618.3,2023-05-26
23,30,692.9,2023-05-26
24,30,792.3,2023-05-26
25,30,604.6,2023-05-26
26,30,697.4,2023-05-26
27,30,462.6,2023-05-26
28,30,678.1,2023-05-26
29,30,639.6,2023-05-26
30,30,577.3,2023-05-26
31,30,711.6,2023-05-26
32,30,850.4,2023-05-26
33,30,690.2,2023-05-26
34,30,669.9,2023-05-26
35,30,658.5,2023-05-26
36,30,777.6,2023-05-26
37,30,634.4,2023-05-26
38,30,716.1,2023-05-26
39,30,633.2,2023-05-26
40,30,722.3,2023-05-26
41,30,476.4,2023-05-26
42,30,701.7,2023-05-26
43,30,665.6,2023-05-26
44,30,724.7,2023-05-26
45,30,611.2,2023-05-26
46,30,525.8,2023-05-26
47,29,404.0,2023-05-26
48,30,495.5,2023-05-26
49,30,572.6,2023-05-26
50,30,546.1,2023-05-26
51,30,623.3,2023-05-26
52,30,807.4,2023-05-26
53,30,707.7,2023-05-26
54,30,600.6,2023-05-26
55,30,619.6,2023-05-26
56,30,659.2,2023-05-26
57,30,554.8,2023-05-26
58,30,580.3,2023-05-26
59,30,647.5,2023-05-26
60,30,682.0,2023-05-26
61,30,670.7,2023-05-26
62,30,632.0,2023-05-26
63,29,423.1,2023-05-26
64,30,539.7,2023-05-26
65,30,514.5,2023-05-26
66,30,473.7,2023-05-26
67,30,548.6,2023-05-26
68,30,503.5,2023-05-26
69,30,509.6,2023-05-26
