level,power
30,580.7
30,604.2
30,441.8
30,543.6
30,581
30,520.2
30,501.1
30,401.9
29,373.3
28,321.1
27,380.1
27,353.2
27,311.6
30,421.7
25,336.7
28,281.5
28,384.9
30,446.2
30,527.7
29,381.7
27,376.8
28,389.3
30,430.4
26,341.5
28,427.1
30,489.5
27,389.1
28,327.1
30,478.3
28,257.9
30,439.5
27,410.1
29,330.9
30,404.9
30,524.3
30,516
30,600.3
28,437.1
27,391.2
28,331.7
27,435.1
24,266.4
29,383.6
24,124
27,297.5
25,256.5
30,548.3
26,262.3
29,406.4
28,328.6
25,200.4
24,204.2
26,287.4
25,188.9
27,302.4
27,350.4
25,334.2
25,288.3
29,369
25,336.5
24,197
27,314.7
26,360.6
30,464.1
26,294.6
30,521.1
27,384.5
