,level,power,date
0,30,558.5,2023-05-08
1,30,656.4,2023-05-08
2,30,584.4,2023-05-08
3,30,658.2,2023-05-08
4,30,692.2,2023-05-08
5,30,565.5,2023-05-08
6,30,540.2,2023-05-08
7,30,537.4,2023-05-08
8,30,519.7,2023-05-08
9,30,476.6,2023-05-08
10,28,398.6,2023-05-08
11,26,321.0,2023-05-08
12,30,512.1,2023-05-08
13,30,481.5,2023-05-08
14,30,526.0,2023-05-08
15,30,400.4,2023-05-08
16,28,505.7,2023-05-08
17,28,259.2,2023-05-08
18,30,656.0,2023-05-08
19,30,486.4,2023-05-08
20,30,704.1,2023-05-08
21,12,20.3,2023-05-08
22,27,389.7,2023-05-08
23,30,469.2,2023-05-08
24,30,471.1,2023-05-08
25,30,579.8,2023-05-08
26,30,616.5,2023-05-08
27,29,383.7,2023-05-08
28,30,505.2,2023-05-08
29,30,500.1,2023-05-08
30,26,280.8,2023-05-08
31,30,530.0,2023-05-08
32,29,387.4,2023-05-08
33,30,604.3,2023-05-08
34,30,540.2,2023-05-08
35,28,436.1,2023-05-08
36,30,646.9,2023-05-08
37,30,541.6,2023-05-08
38,30,484.1,2023-05-08
39,30,407.7,2023-05-08
40,28,409.4,2023-05-08
41,30,485.1,2023-05-08
42,30,396.9,2023-05-08
43,30,580.0,2023-05-08
44,30,408.2,2023-05-08
45,24,181.6,2023-05-08
46,26,310.4,2023-05-08
47,25,319.0,2023-05-08
48,30,437.4,2023-05-08
49,26,344.5,2023-05-08
50,23,188.1,2023-05-08
51,28,305.6,2023-05-08
52,24,212.2,2023-05-08
53,29,414.1,2023-05-08
54,30,559.3,2023-05-08
55,27,233.3,2023-05-08
56,30,539.6,2023-05-08
57,30,518.7,2023-05-08
58,25,190.1,2023-05-08
59,29,367.1,2023-05-08
60,29,368.2,2023-05-08
61,25,233.1,2023-05-08
62,29,390.2,2023-05-08
63,29,381.6,2023-05-08
64,27,273.2,2023-05-08
65,29,347.8,2023-05-08
66,27,307.2,2023-05-08
