,level,power,date
0,30,467.5,2023-05-16
1,30,627.3,2023-05-16
2,30,537.0,2023-05-16
3,30,445.1,2023-05-16
4,30,539.1,2023-05-16
5,29,463.2,2023-05-16
6,28,482.1,2023-05-16
7,30,565.6,2023-05-16
8,25,281.5,2023-05-16
9,28,368.6,2023-05-16
10,29,474.7,2023-05-16
11,30,373.7,2023-05-16
12,29,367.8,2023-05-16
13,29,397.3,2023-05-16
14,25,349.6,2023-05-16
15,27,301.2,2023-05-16
16,26,378.0,2023-05-16
17,30,406.0,2023-05-16
18,29,423.3,2023-05-16
19,26,344.4,2023-05-16
20,29,406.7,2023-05-16
21,27,375.4,2023-05-16
22,28,333.4,2023-05-16
23,25,382.8,2023-05-16
24,24,223.8,2023-05-16
25,28,494.3,2023-05-16
26,29,362.2,2023-05-16
27,28,382.3,2023-05-16
28,30,566.3,2023-05-16
29,29,435.4,2023-05-16
30,28,403.0,2023-05-16
31,29,431.3,2023-05-16
32,27,350.4,2023-05-16
33,29,404.1,2023-05-16
34,28,414.3,2023-05-16
35,29,413.6,2023-05-16
36,29,407.4,2023-05-16
37,30,456.6,2023-05-16
38,30,451.2,2023-05-16
39,30,442.7,2023-05-16
40,30,422.7,2023-05-16
41,24,175.1,2023-05-16
42,29,382.3,2023-05-16
43,28,404.6,2023-05-16
44,25,147.5,2023-05-16
45,27,290.6,2023-05-16
46,26,382.8,2023-05-16
47,24,271.1,2023-05-16
48,26,312.1,2023-05-16
49,30,339.2,2023-05-16
50,24,198.8,2023-05-16
51,26,350.1,2023-05-16
52,26,317.3,2023-05-16
53,30,450.5,2023-05-16
54,30,498.2,2023-05-16
55,26,292.3,2023-05-16
56,26,298.7,2023-05-16
57,25,276.1,2023-05-16
58,22,185.9,2023-05-16
59,25,315.1,2023-05-16
60,29,381.0,2023-05-16
61,26,295.5,2023-05-16
62,26,278.6,2023-05-16
63,26,248.4,2023-05-16
64,27,306.7,2023-05-16
65,25,204.5,2023-05-16
66,26,330.1,2023-05-16
