,level,power,date
0,29,525.4,2023-05-11
1,30,638.2,2023-05-11
2,29,383.8,2023-05-11
3,30,413.9,2023-05-11
4,30,574.1,2023-05-11
5,28,373.6,2023-05-11
6,14,29.2,2023-05-11
7,30,550.1,2023-05-11
8,17,52.2,2023-05-11
9,18,50.5,2023-05-11
10,30,559.4,2023-05-11
11,29,463.7,2023-05-11
12,28,388.7,2023-05-11
13,29,434.6,2023-05-11
14,28,391.5,2023-05-11
15,27,374.5,2023-05-11
16,28,445.4,2023-05-11
17,30,378.7,2023-05-11
18,30,473.6,2023-05-11
19,30,399.3,2023-05-11
20,28,392.4,2023-05-11
21,26,347.9,2023-05-11
22,27,394.3,2023-05-11
23,30,448.2,2023-05-11
24,26,364.1,2023-05-11
25,28,479.6,2023-05-11
26,27,361.1,2023-05-11
27,30,480.6,2023-05-11
28,28,335.5,2023-05-11
29,30,465.4,2023-05-11
30,18,62.9,2023-05-11
31,26,292.3,2023-05-11
32,28,354.4,2023-05-11
33,26,361.4,2023-05-11
34,14,22.0,2023-05-11
35,27,266.2,2023-05-11
36,28,341.5,2023-05-11
37,25,132.0,2023-05-11
38,30,537.8,2023-05-11
39,29,433.8,2023-05-11
40,26,274.3,2023-05-11
41,28,286.2,2023-05-11
42,25,237.7,2023-05-11
43,26,354.2,2023-05-11
44,27,187.8,2023-05-11
45,26,214.1,2023-05-11
46,30,456.7,2023-05-11
47,27,259.5,2023-05-11
48,25,165.7,2023-05-11
49,30,503.8,2023-05-11
50,26,198.9,2023-05-11
51,26,202.8,2023-05-11
52,28,346.2,2023-05-11
