,level,power,date
0,30,589.2,2023-05-26
1,30,575.3,2023-05-26
2,30,623.5,2023-05-26
3,30,533.3,2023-05-26
4,30,446.9,2023-05-26
5,30,728.0,2023-05-26
6,30,611.9,2023-05-26
7,30,609.6,2023-05-26
8,30,583.8,2023-05-26
9,30,505.0,2023-05-26
10,30,536.7,2023-05-26
11,30,472.8,2023-05-26
12,30,630.4,2023-05-26
13,29,394.1,2023-05-26
14,28,364.7,2023-05-26
15,30,619.0,2023-05-26
16,30,569.2,2023-05-26
17,30,567.7,2023-05-26
18,30,514.7,2023-05-26
19,30,625.1,2023-05-26
20,30,592.5,2023-05-26
21,30,558.7,2023-05-26
22,30,666.5,2023-05-26
23,30,579.4,2023-05-26
24,30,562.9,2023-05-26
25,28,416.9,2023-05-26
26,30,455.6,2023-05-26
27,27,292.5,2023-05-26
28,30,554.1,2023-05-26
29,30,386.8,2023-05-26
30,30,488.7,2023-05-26
31,30,513.9,2023-05-26
32,30,536.8,2023-05-26
33,29,459.5,2023-05-26
34,30,567.6,2023-05-26
35,28,411.1,2023-05-26
36,30,525.2,2023-05-26
37,30,632.5,2023-05-26
38,30,537.3,2023-05-26
39,30,522.8,2023-05-26
40,29,469.8,2023-05-26
41,25,290.2,2023-05-26
42,28,442.1,2023-05-26
43,30,460.2,2023-05-26
44,30,429.5,2023-05-26
45,30,516.2,2023-05-26
46,30,466.7,2023-05-26
47,30,558.8,2023-05-26
48,29,500.1,2023-05-26
49,30,605.7,2023-05-26
50,30,453.2,2023-05-26
51,30,584.4,2023-05-26
52,29,380.0,2023-05-26
53,27,339.0,2023-05-26
54,30,532.5,2023-05-26
55,29,351.2,2023-05-26
56,26,359.8,2023-05-26
57,28,320.5,2023-05-26
58,30,464.4,2023-05-26
59,30,440.9,2023-05-26
60,30,463.8,2023-05-26
61,29,359.5,2023-05-26
62,30,554.4,2023-05-26
63,30,504.1,2023-05-26
64,30,392.3,2023-05-26
65,28,325.5,2023-05-26
