,level,power,date
0,30,642.2,2023-05-10
1,30,559.7,2023-05-10
2,30,669.7,2023-05-10
3,30,550.7,2023-05-10
4,30,671.9,2023-05-10
5,30,385.4,2023-05-10
6,29,340.6,2023-05-10
7,30,614.5,2023-05-10
8,30,571.1,2023-05-10
9,30,484.7,2023-05-10
10,30,507.6,2023-05-10
11,26,252.1,2023-05-10
12,30,486.0,2023-05-10
13,30,410.6,2023-05-10
14,28,459.7,2023-05-10
15,27,506.1,2023-05-10
16,30,619.6,2023-05-10
17,29,413.9,2023-05-10
18,26,323.2,2023-05-10
19,26,336.9,2023-05-10
20,30,582.4,2023-05-10
21,27,293.8,2023-05-10
22,30,496.6,2023-05-10
23,26,315.2,2023-05-10
24,26,294.8,2023-05-10
25,27,201.6,2023-05-10
26,30,443.4,2023-05-10
27,30,553.5,2023-05-10
28,28,415.7,2023-05-10
29,29,362.3,2023-05-10
30,30,521.5,2023-05-10
31,30,491.6,2023-05-10
32,27,397.5,2023-05-10
33,30,640.2,2023-05-10
34,29,356.8,2023-05-10
35,28,403.3,2023-05-10
36,30,418.3,2023-05-10
37,30,502.0,2023-05-10
38,28,492.7,2023-05-10
39,27,351.5,2023-05-10
40,26,252.9,2023-05-10
41,29,362.7,2023-05-10
42,27,484.4,2023-05-10
43,29,447.4,2023-05-10
44,27,330.7,2023-05-10
45,29,406.9,2023-05-10
46,25,308.2,2023-05-10
47,28,360.5,2023-05-10
48,30,631.1,2023-05-10
49,24,257.2,2023-05-10
50,30,533.6,2023-05-10
51,26,384.2,2023-05-10
52,30,467.1,2023-05-10
53,27,392.1,2023-05-10
54,26,251.8,2023-05-10
55,24,237.1,2023-05-10
56,23,176.1,2023-05-10
57,26,210.3,2023-05-10
58,26,334.7,2023-05-10
