,level,power,date
0,30,534.0,2023-05-21
1,30,613.5,2023-05-21
2,30,588.3,2023-05-21
3,30,590.3,2023-05-21
4,30,520.5,2023-05-21
5,30,589.9,2023-05-21
6,30,446.4,2023-05-21
7,29,369.9,2023-05-21
8,29,359.2,2023-05-21
9,28,434.6,2023-05-21
10,27,339.3,2023-05-21
11,30,405.5,2023-05-21
12,26,260.6,2023-05-21
13,30,572.2,2023-05-21
14,30,615.6,2023-05-21
15,30,564.3,2023-05-21
16,30,524.4,2023-05-21
17,30,624.2,2023-05-21
18,30,488.2,2023-05-21
19,30,593.7,2023-05-21
20,30,582.9,2023-05-21
21,30,675.3,2023-05-21
22,30,607.7,2023-05-21
23,30,587.0,2023-05-21
24,25,323.0,2023-05-21
25,26,260.8,2023-05-21
26,28,384.7,2023-05-21
27,30,571.4,2023-05-21
28,28,337.9,2023-05-21
29,30,544.4,2023-05-21
30,27,298.5,2023-05-21
31,28,299.2,2023-05-21
32,28,383.6,2023-05-21
33,30,468.2,2023-05-21
34,29,422.8,2023-05-21
35,29,418.9,2023-05-21
36,30,585.8,2023-05-21
37,30,592.0,2023-05-21
38,29,444.6,2023-05-21
39,30,536.5,2023-05-21
40,28,508.4,2023-05-21
41,30,514.8,2023-05-21
42,28,469.6,2023-05-21
43,28,302.9,2023-05-21
44,30,551.1,2023-05-21
45,26,373.1,2023-05-21
46,24,189.7,2023-05-21
47,30,386.9,2023-05-21
48,29,398.5,2023-05-21
49,21,149.8,2023-05-21
50,29,313.5,2023-05-21
51,30,505.6,2023-05-21
52,26,363.6,2023-05-21
53,29,356.5,2023-05-21
54,25,317.5,2023-05-21
55,28,314.2,2023-05-21
56,24,190.1,2023-05-21
57,29,368.6,2023-05-21
58,22,115.1,2023-05-21
59,30,612.8,2023-05-21
60,27,380.2,2023-05-21
61,29,354.1,2023-05-21
62,30,644.8,2023-05-21
