,level,power,date
0,30,438.1,2023-05-21
1,30,672.6,2023-05-21
2,30,533.2,2023-05-21
3,30,538.6,2023-05-21
4,30,654.4,2023-05-21
5,30,622.5,2023-05-21
6,30,509.3,2023-05-21
7,30,550.4,2023-05-21
8,30,439.4,2023-05-21
9,27,378.1,2023-05-21
10,30,481.0,2023-05-21
11,29,391.9,2023-05-21
12,30,530.1,2023-05-21
13,30,523.9,2023-05-21
14,30,612.7,2023-05-21
15,29,405.9,2023-05-21
16,30,521.1,2023-05-21
17,28,350.7,2023-05-21
18,26,365.2,2023-05-21
19,30,549.2,2023-05-21
20,30,563.6,2023-05-21
21,30,485.5,2023-05-21
22,30,425.8,2023-05-21
23,30,579.2,2023-05-21
24,30,576.0,2023-05-21
25,30,651.5,2023-05-21
26,30,555.1,2023-05-21
27,26,314.1,2023-05-21
28,30,583.4,2023-05-21
29,27,320.3,2023-05-21
30,30,450.3,2023-05-21
31,30,576.7,2023-05-21
32,30,475.3,2023-05-21
33,30,628.7,2023-05-21
34,30,421.5,2023-05-21
35,28,344.8,2023-05-21
36,29,322.4,2023-05-21
37,30,357.2,2023-05-21
38,25,272.8,2023-05-21
39,30,567.8,2023-05-21
40,30,544.6,2023-05-21
41,30,590.3,2023-05-21
42,26,393.8,2023-05-21
43,28,455.5,2023-05-21
44,29,465.1,2023-05-21
45,19,67.8,2023-05-21
46,28,397.6,2023-05-21
47,28,400.4,2023-05-21
48,28,340.7,2023-05-21
49,30,520.8,2023-05-21
50,27,271.9,2023-05-21
51,30,504.6,2023-05-21
52,24,292.5,2023-05-21
53,28,416.6,2023-05-21
54,24,259.7,2023-05-21
55,28,348.7,2023-05-21
56,25,269.8,2023-05-21
