,level,power,date
0,30,675.6,2023-05-02
1,30,656.7,2023-05-02
2,30,0.0,2023-05-02
3,30,763.3,2023-05-02
4,30,682.1,2023-05-02
5,30,580.4,2023-05-02
6,30,578.5,2023-05-02
7,30,554.7,2023-05-02
8,30,540.7,2023-05-02
9,30,503.4,2023-05-02
10,30,500.8,2023-05-02
11,30,498.4,2023-05-02
12,30,497.7,2023-05-02
13,30,486.0,2023-05-02
14,30,414.6,2023-05-02
15,27,456.0,2023-05-02
16,27,360.9,2023-05-02
17,26,246.0,2023-05-02
18,30,435.2,2023-05-02
19,30,553.3,2023-05-02
20,30,712.6,2023-05-02
21,30,535.9,2023-05-02
22,30,510.0,2023-05-02
23,30,528.2,2023-05-02
24,30,495.1,2023-05-02
25,30,515.2,2023-05-02
26,30,652.9,2023-05-02
27,30,505.9,2023-05-02
28,30,533.3,2023-05-02
29,30,627.7,2023-05-02
30,28,396.9,2023-05-02
31,30,521.9,2023-05-02
32,30,509.4,2023-05-02
33,30,500.3,2023-05-02
34,30,595.2,2023-05-02
35,30,522.4,2023-05-02
36,29,453.6,2023-05-02
37,30,563.9,2023-05-02
38,30,604.0,2023-05-02
39,30,406.4,2023-05-02
40,29,281.3,2023-05-02
41,30,675.5,2023-05-02
42,30,548.3,2023-05-02
43,29,360.9,2023-05-02
44,26,250.0,2023-05-02
45,30,551.8,2023-05-02
46,30,532.8,2023-05-02
47,26,279.9,2023-05-02
48,28,337.5,2023-05-02
49,29,428.7,2023-05-02
50,30,608.7,2023-05-02
51,30,578.9,2023-05-02
52,30,478.6,2023-05-02
53,30,495.5,2023-05-02
54,30,529.4,2023-05-02
55,28,360.2,2023-05-02
56,29,363.5,2023-05-02
57,30,452.3,2023-05-02
58,30,537.4,2023-05-02
59,29,336.4,2023-05-02
60,29,433.7,2023-05-02
61,30,351.2,2023-05-02
62,30,435.3,2023-05-02
63,28,297.4,2023-05-02
64,27,403.1,2023-05-02
65,27,255.9,2023-05-02
66,29,401.6,2023-05-02
67,30,492.5,2023-05-02
