level,power
30,466.6
30,761.9
30,737
30,620.9
30,551.6
30,643.1
30,622.7
30,560.9
30,531.2
30,445.9
30,409.7
29,342.7
29,341.6
27,349.2
2,119.8
1,21.8
30,488.5
25,175
30,518.5
29,358.2
30,531.9
30,575.5
30,433
30,610.6
30,537.8
29,411.2
30,517.2
30,681.9
30,607.9
30,571
30,625.4
30,522.5
30,457.5
30,496.5
30,512.6
30,413
30,530.9
30,525.6
30,616.6
28,424.4
30,452.9
30,667.4
30,570.9
30,514.9
6,64
28,305.5
30,588.9
30,636.9
30,458.2
30,482.9
30,434.2
30,468.6
24,255.4
30,493.7
30,497.9
30,414.1
28,407.1
30,495.7
28,406.3
30,467
30,501.4
30,508.3
30,460.6
30,383.6
30,343.4
29,454.5
29,343.7
26,270.4
