,level,power,date
0,30,767.6,2023-05-02
1,30,542.3,2023-05-02
2,30,576.5,2023-05-02
3,30,535.6,2023-05-02
4,30,540.1,2023-05-02
5,30,690.4,2023-05-02
6,30,667.8,2023-05-02
7,30,484.5,2023-05-02
8,30,606.3,2023-05-02
9,30,522.5,2023-05-02
10,30,502.4,2023-05-02
11,29,372.8,2023-05-02
12,30,576.8,2023-05-02
13,30,466.7,2023-05-02
14,30,579.1,2023-05-02
15,29,436.6,2023-05-02
16,30,656.0,2023-05-02
17,30,519.0,2023-05-02
18,30,559.8,2023-05-02
19,30,537.5,2023-05-02
20,30,445.1,2023-05-02
21,30,520.4,2023-05-02
22,30,630.0,2023-05-02
23,18,52.9,2023-05-02
24,30,564.1,2023-05-02
25,28,296.9,2023-05-02
26,30,556.4,2023-05-02
27,30,397.6,2023-05-02
28,30,535.3,2023-05-02
29,30,694.0,2023-05-02
30,30,382.2,2023-05-02
31,30,468.5,2023-05-02
32,30,606.9,2023-05-02
33,30,591.8,2023-05-02
34,30,619.9,2023-05-02
35,30,425.0,2023-05-02
36,30,546.6,2023-05-02
37,18,63.5,2023-05-02
38,30,472.5,2023-05-02
39,30,433.7,2023-05-02
40,30,626.3,2023-05-02
41,30,452.9,2023-05-02
42,30,566.5,2023-05-02
43,30,621.6,2023-05-02
44,6,37.8,2023-05-02
45,30,595.1,2023-05-02
46,30,471.7,2023-05-02
47,28,383.3,2023-05-02
48,29,356.1,2023-05-02
49,30,439.5,2023-05-02
50,26,331.5,2023-05-02
51,29,404.9,2023-05-02
52,27,310.8,2023-05-02
53,29,353.2,2023-05-02
