level,power
30,555.2
30,502.8
30,514.3
30,678
30,664
30,699.1
30,586.3
30,577
30,575.2
30,526.3
30,515
30,480.2
30,463.5
30,424.7
29,397.9
27,428.6
30,614.3
30,627.6
30,488.5
30,582
30,500.5
30,599.6
30,575.9
30,600.5
30,632.3
30,666.2
30,604
30,502.9
30,591.6
30,609
30,615.1
30,392.6
30,527.8
28,344.8
30,479.1
29,473.4
30,509.8
27,286.5
30,473.8
24,248
30,390.8
30,490.4
29,457.3
29,342.6
17,69
28,400.1
29,375.4
30,59385
30,601.7
29,403.6
28,443
30,558.9
29,324.3
29,335
29,366.9
28,401.5
30,547.4
23,237.9
27,330.1
30,556.2
25,186.4
30,445.3
30,497.7
26,233.9
30,356.6
