,level,power,date
0,30,446.7,2023-05-08
1,30,558.0,2023-05-08
2,30,696.6,2023-05-08
3,30,736.1,2023-05-08
4,30,452.5,2023-05-08
5,30,622.1,2023-05-08
6,30,600.1,2023-05-08
7,30,530.2,2023-05-08
8,30,499.6,2023-05-08
9,30,498.6,2023-05-08
10,30,450.8,2023-05-08
11,30,432.4,2023-05-08
12,30,430.5,2023-05-08
13,30,424.6,2023-05-08
14,29,495.6,2023-05-08
15,29,489.2,2023-05-08
16,29,475.3,2023-05-08
17,28,497.1,2023-05-08
18,28,346.3,2023-05-08
19,28,342.0,2023-05-08
20,30,518.3,2023-05-08
21,30,453.8,2023-05-08
22,29,428.8,2023-05-08
23,30,541.0,2023-05-08
24,29,461.3,2023-05-08
25,30,412.2,2023-05-08
26,30,447.5,2023-05-08
27,30,428.0,2023-05-08
28,30,519.1,2023-05-08
29,22,193.5,2023-05-08
30,29,473.9,2023-05-08
31,29,452.4,2023-05-08
32,28,460.5,2023-05-08
33,29,345.9,2023-05-08
34,30,465.3,2023-05-08
35,30,478.3,2023-05-08
36,30,471.5,2023-05-08
37,30,443.8,2023-05-08
38,30,519.5,2023-05-08
39,30,493.4,2023-05-08
40,29,443.4,2023-05-08
41,27,405.9,2023-05-08
42,30,466.1,2023-05-08
43,30,427.9,2023-05-08
44,30,507.2,2023-05-08
45,30,434.7,2023-05-08
46,29,498.4,2023-05-08
47,30,513.8,2023-05-08
48,30,427.4,2023-05-08
49,30,451.2,2023-05-08
50,29,318.7,2023-05-08
51,30,433.6,2023-05-08
52,28,269.4,2023-05-08
53,27,317.4,2023-05-08
54,30,531.6,2023-05-08
55,30,534.9,2023-05-08
56,27,433.3,2023-05-08
57,30,427.3,2023-05-08
58,30,371.1,2023-05-08
59,29,404.1,2023-05-08
60,30,545.3,2023-05-08
61,30,314.0,2023-05-08
62,27,302.7,2023-05-08
63,30,379.3,2023-05-08
64,29,417.3,2023-05-08
65,29,339.9,2023-05-08
66,27,297.9,2023-05-08
67,29,300.1,2023-05-08
68,25,180.9,2023-05-08
