,level,power,date
0,30,556.3,2023-05-08
1,30,529.8,2023-05-08
2,30,520.4,2023-05-08
3,30,487.2,2023-05-08
4,30,420.3,2023-05-08
5,30,436.9,2023-05-08
6,29,414.9,2023-05-08
7,29,364.0,2023-05-08
8,29,350.1,2023-05-08
9,28,423.6,2023-05-08
10,26,364.1,2023-05-08
11,30,639.5,2023-05-08
12,28,353.3,2023-05-08
13,24,203.4,2023-05-08
14,9,57.6,2023-05-08
15,30,618.3,2023-05-08
16,27,232.7,2023-05-08
17,30,452.1,2023-05-08
18,27,412.3,2023-05-08
19,25,309.9,2023-05-08
20,28,352.6,2023-05-08
21,28,231.6,2023-05-08
22,26,343.3,2023-05-08
23,30,467.2,2023-05-08
24,30,425.7,2023-05-08
25,26,347.9,2023-05-08
26,30,600.8,2023-05-08
27,27,389.9,2023-05-08
28,26,391.6,2023-05-08
29,26,223.7,2023-05-08
30,25,262.6,2023-05-08
31,28,387.4,2023-05-08
32,30,536.5,2023-05-08
33,29,414.8,2023-05-08
34,26,128.5,2023-05-08
35,29,309.5,2023-05-08
36,27,341.2,2023-05-08
37,29,325.4,2023-05-08
38,30,387.7,2023-05-08
39,29,351.3,2023-05-08
40,29,296.3,2023-05-08
41,29,371.3,2023-05-08
42,27,385.1,2023-05-08
43,30,474.2,2023-05-08
44,25,205.6,2023-05-08
45,28,291.8,2023-05-08
46,22,175.1,2023-05-08
47,24,238.2,2023-05-08
48,30,469.2,2023-05-08
49,24,120.5,2023-05-08
50,25,305.6,2023-05-08
51,26,211.3,2023-05-08
52,28,312.7,2023-05-08
53,26,229.3,2023-05-08
54,26,348.6,2023-05-08
