,level,power,date
0,29,390.3,2023-05-21
1,30,529.9,2023-05-21
2,29,445.5,2023-05-21
3,28,441.5,2023-05-21
4,29,397.0,2023-05-21
5,27,367.6,2023-05-21
6,26,329.9,2023-05-21
7,25,303.9,2023-05-21
8,2,95.7,2023-05-21
9,30,430.7,2023-05-21
10,28,373.3,2023-05-21
11,28,413.5,2023-05-21
12,19,88.5,2023-05-21
13,29,299.6,2023-05-21
14,27,430.6,2023-05-21
15,18,70.1,2023-05-21
16,28,370.8,2023-05-21
17,29,351.4,2023-05-21
18,25,250.1,2023-05-21
19,28,449.1,2023-05-21
20,29,401.9,2023-05-21
21,28,416.5,2023-05-21
22,25,297.1,2023-05-21
23,27,403.6,2023-05-21
24,27,389.1,2023-05-21
25,28,427.0,2023-05-21
26,28,416.1,2023-05-21
27,27,303.5,2023-05-21
28,27,386.7,2023-05-21
29,21,78.5,2023-05-21
30,24,188.1,2023-05-21
31,25,208.0,2023-05-21
32,28,293.8,2023-05-21
33,26,372.1,2023-05-21
34,25,135.2,2023-05-21
35,24,314.7,2023-05-21
36,19,87.8,2023-05-21
37,23,239.6,2023-05-21
38,27,306.1,2023-05-21
39,28,357.7,2023-05-21
40,28,41.1,2023-05-21
41,25,219.2,2023-05-21
42,28,446.4,2023-05-21
43,27,258.7,2023-05-21
44,23,181.9,2023-05-21
45,17,51.6,2023-05-21
46,29,343.0,2023-05-21
47,17,30.8,2023-05-21
48,27,352.3,2023-05-21
49,24,262.2,2023-05-21
50,20,80.7,2023-05-21
51,26,227.3,2023-05-21
52,25,208.0,2023-05-21
53,26,325.4,2023-05-21
54,23,210.0,2023-05-21
55,26,319.2,2023-05-21
56,26,312.7,2023-05-21
57,26,335.2,2023-05-21
58,27,188.5,2023-05-21
59,23,178.3,2023-05-21
60,25,300.7,2023-05-21
61,23,203.4,2023-05-21
62,24,232.5,2023-05-21
63,20,75.6,2023-05-21
64,29,368.5,2023-05-21
65,22,141.5,2023-05-21
66,25,168.7,2023-05-21
67,27,330.9,2023-05-21
68,22,166.5,2023-05-21
