level,power
30,772.6
30,598.1
30,522.3
30,567.4
30,10
30,673.3
30,660.6
30,530.7
30,525.2
30,499.8
30,428.3
29,455.2
28,491.2
28,354.9
26,299.7
24,157.3
30,504.6
26,394.2
30,505.4
30,531.6
30,548.6
30,513.2
30,435.8
30,512.9
29,403.8
30,470.1
29,458.1
30,463.4
30,519.4
30,469.2
28,399.3
29,396.3
30,514.3
30,467.2
30,487
29,430.3
30,476.4
30,454.8
30,534.7
26,349.6
29,489.6
30,094
30,401
30,500.5
28,334.1
29,422
29,441.7
29,382.8
30,554.4
30,476.2
26,310.2
27,379.2
30,576
30,452.5
27,330.2
30,359.2
30,408.7
27,424.6
27,279.2
27,373.2
26,314.8
28,406.6
28,391.5
30,427.1
26,263.3
27,419.4
27,361.1
27,329.2
29,335.8
