,level,power,date
0,30,713.2,2023-05-08
1,30,682.7,2023-05-08
2,30,464.3,2023-05-08
3,30,728.7,2023-05-08
4,30,615.1,2023-05-08
5,30,745.7,2023-05-08
6,30,736.9,2023-05-08
7,30,719.7,2023-05-08
8,30,713.4,2023-05-08
9,30,704.2,2023-05-08
10,30,692.3,2023-05-08
11,30,676.2,2023-05-08
12,30,652.5,2023-05-08
13,30,652.5,2023-05-08
14,30,626.2,2023-05-08
15,30,603.1,2023-05-08
16,30,599.6,2023-05-08
17,30,581.1,2023-05-08
18,30,570.4,2023-05-08
19,30,564.8,2023-05-08
20,30,556.3,2023-05-08
21,30,515.2,2023-05-08
22,30,514.0,2023-05-08
23,30,513.5,2023-05-08
24,30,508.5,2023-05-08
25,30,460.4,2023-05-08
26,29,442.1,2023-05-08
27,29,416.1,2023-05-08
28,28,477.1,2023-05-08
29,30,5119.6,2023-05-08
30,30,489.6,2023-05-08
31,30,500.4,2023-05-08
32,30,451.9,2023-05-08
33,30,517.1,2023-05-08
34,30,599.7,2023-05-08
35,30,520.4,2023-05-08
36,30,564.5,2023-05-08
37,30,520.9,2023-05-08
38,30,484.6,2023-05-08
39,29,445.1,2023-05-08
40,30,650.0,2023-05-08
41,30,531.2,2023-05-08
42,30,471.9,2023-05-08
43,30,571.3,2023-05-08
44,30,760.9,2023-05-08
45,30,466.2,2023-05-08
46,30,568.4,2023-05-08
47,30,552.8,2023-05-08
48,30,501.1,2023-05-08
49,28,355.4,2023-05-08
50,30,616.3,2023-05-08
51,30,383.4,2023-05-08
52,30,482.4,2023-05-08
53,30,630.0,2023-05-08
54,28,374.3,2023-05-08
55,30,577.1,2023-05-08
56,27,335.1,2023-05-08
57,30,603.4,2023-05-08
58,29,429.9,2023-05-08
59,30,496.1,2023-05-08
60,30,438.7,2023-05-08
61,30,646.9,2023-05-08
62,28,350.2,2023-05-08
63,28,305.3,2023-05-08
64,30,542.9,2023-05-08
65,28,362.8,2023-05-08
66,30,576.0,2023-05-08
67,30,442.0,2023-05-08
68,30,445.1,2023-05-08
