,Unnamed: 0,level,power,date
0,0,30,791.7,2023-05-26
1,1,30,650.7,2023-05-26
2,2,30,706.1,2023-05-26
3,3,30,645.8,2023-05-26
4,4,30,781.6,2023-05-26
5,5,30,821.0,2023-05-26
6,6,30,695.1,2023-05-26
7,7,30,675.7,2023-05-26
8,8,30,643.2,2023-05-26
9,9,30,614.1,2023-05-26
10,10,30,607.2,2023-05-26
11,11,30,603.8,2023-05-26
12,12,30,598.0,2023-05-26
13,13,30,555.6,2023-05-26
14,14,30,542.0,2023-05-26
15,15,30,499.0,2023-05-26
16,16,30,404.7,2023-05-26
17,17,28,301.2,2023-05-26
18,18,30,636.5,2023-05-26
19,19,30,566.0,2023-05-26
20,20,30,598.4,2023-05-26
21,21,30,702.3,2023-05-26
22,22,30,449.0,2023-05-26
23,23,30,633.0,2023-05-26
24,24,30,540.4,2023-05-26
25,25,30,470.0,2023-05-26
26,26,25,317.6,2023-05-26
27,27,27,376.3,2023-05-26
28,28,30,430.0,2023-05-26
29,29,30,538.2,2023-05-26
30,30,30,629.0,2023-05-26
31,31,30,962.5,2023-05-26
32,32,30,681.7,2023-05-26
33,33,29,487.3,2023-05-26
34,34,29,457.8,2023-05-26
35,35,21,180.3,2023-05-26
36,36,30,533.0,2023-05-26
37,37,30,571.1,2023-05-26
38,38,25,292.4,2023-05-26
39,39,26,423.3,2023-05-26
40,40,30,682.2,2023-05-26
41,41,27,397.4,2023-05-26
42,42,30,413.8,2023-05-26
43,43,30,688.0,2023-05-26
44,44,30,627.0,2023-05-26
45,45,30,590.2,2023-05-26
46,46,29,438.7,2023-05-26
47,47,30,546.4,2023-05-26
48,48,30,593.8,2023-05-26
49,49,30,569.0,2023-05-26
50,50,30,557.9,2023-05-26
51,51,30,524.4,2023-05-26
52,52,30,712.6,2023-05-26
53,53,30,440.0,2023-05-26
54,54,30,533.5,2023-05-26
55,55,23,158.5,2023-05-26
56,56,30,609.0,2023-05-26
57,57,27,418.5,2023-05-26
58,58,30,610.8,2023-05-26
59,59,29,446.4,2023-05-26
60,60,28,308.6,2023-05-26
61,61,30,511.8,2023-05-26
62,62,25,291.2,2023-05-26
63,63,24,254.9,2023-05-26
64,64,25,284.8,2023-05-26
65,65,28,437.0,2023-05-26
66,66,29,507.5,2023-05-26
67,67,24,275.0,2023-05-26
68,68,24,263.7,2023-05-26
