,Unnamed: 0,level,power,date
0,0,29,333.5,2023-05-26
1,1,30,608.9,2023-05-26
2,2,30,404.6,2023-05-26
3,3,30,400.3,2023-05-26
4,4,30,384.4,2023-05-26
5,5,30,506.8,2023-05-26
6,6,30,488.9,2023-05-26
7,7,27,343.3,2023-05-26
8,8,30,473.6,2023-05-26
9,9,30,481.3,2023-05-26
10,10,28,475.2,2023-05-26
11,11,30,490.9,2023-05-26
12,12,30,546.4,2023-05-26
13,13,30,353.5,2023-05-26
14,14,29,391.5,2023-05-26
15,15,28,324.9,2023-05-26
16,16,30,423.8,2023-05-26
17,17,30,476.7,2023-05-26
18,18,28,294.9,2023-05-26
19,19,26,368.5,2023-05-26
20,20,29,330.8,2023-05-26
21,21,28,383.1,2023-05-26
22,22,26,260.4,2023-05-26
23,23,28,355.7,2023-05-26
24,24,23,251.2,2023-05-26
25,25,30,424.6,2023-05-26
26,26,29,338.3,2023-05-26
27,27,29,420.3,2023-05-26
28,28,30,493.5,2023-05-26
29,29,26,283.6,2023-05-26
30,30,29,373.2,2023-05-26
31,31,29,405.2,2023-05-26
32,32,22,81.8,2023-05-26
33,33,30,530.2,2023-05-26
34,34,27,263.0,2023-05-26
35,35,29,263.2,2023-05-26
36,36,29,412.6,2023-05-26
37,37,25,143.4,2023-05-26
38,38,25,311.3,2023-05-26
39,39,30,504.5,2023-05-26
40,40,30,418.3,2023-05-26
41,41,26,244.0,2023-05-26
42,42,30,412.8,2023-05-26
43,43,29,407.0,2023-05-26
44,44,28,292.9,2023-05-26
45,45,26,285.3,2023-05-26
46,46,30,444.0,2023-05-26
47,47,30,489.2,2023-05-26
48,48,27,323.2,2023-05-26
49,49,29,421.9,2023-05-26
50,50,30,566.3,2023-05-26
51,51,30,444.9,2023-05-26
52,52,30,335.2,2023-05-26
53,53,30,522.4,2023-05-26
