level,power
30,569.9
30,572.9
30,647.5
30,512.8
30,620.3
30,497.4
30,491.8
29,385.7
28,408.9
18,78.1
30,495
25,210.6
30,497.2
30,455.9
30,436.7
28,417.9
30,428.9
30,440.4
30,455.4
29,475.1
30,524.8
27,226.1
30,559.8
30,556.4
30,460.2
30,626.3
30,486.2
30,466.6
26,389.8
30,471.4
30,483.5
28,409.6
29,460.8
25,280.5
30,442.3
27,435.2
28,388.2
28,358.4
26,407.7
28,427.1
30,476.6
30,480.3
28,395.4
28,450.3
28,372.5
28,363.1
29,299.2
28,464.2
29,315
27,373.3
29,352
24,285.1
30,532.2
28,358.5
28,351.2
29,418.8
29,385.8
26,267.3
26,228.6
26,337.3
28,416.5
30,444.9
27,402.9
27,400.7
25,132.3
27,352.7
26,354.7
