,level,power,date
0,30,663.9,2023-05-02
1,30,723.7,2023-05-02
2,30,674.4,2023-05-02
3,30,474.3,2023-05-02
4,29,402.2,2023-05-02
5,30,556.4,2023-05-02
6,30,553.6,2023-05-02
7,29,450.8,2023-05-02
8,27,281.8,2023-05-02
9,18,81.1,2023-05-02
10,30,520.2,2023-05-02
11,30,543.2,2023-05-02
12,18,68.0,2023-05-02
13,29,358.9,2023-05-02
14,30,572.5,2023-05-02
15,30,460.1,2023-05-02
16,9,75.1,2023-05-02
17,30,489.5,2023-05-02
18,30,578.9,2023-05-02
19,6,51.4,2023-05-02
20,26,408.8,2023-05-02
21,29,318.7,2023-05-02
22,30,532.2,2023-05-02
23,30,552.6,2023-05-02
24,30,463.6,2023-05-02
25,30,571.3,2023-05-02
26,30,553.2,2023-05-02
27,30,662.8,2023-05-02
28,30,605.9,2023-05-02
29,30,575.5,2023-05-02
30,18,73.4,2023-05-02
31,19,0.0,2023-05-02
32,30,604.9,2023-05-02
33,27,360.6,2023-05-02
34,28,470.0,2023-05-02
35,29,391.3,2023-05-02
36,29,300.2,2023-05-02
37,28,310.0,2023-05-02
38,30,536.9,2023-05-02
39,7,41.8,2023-05-02
40,30,571.8,2023-05-02
41,29,391.6,2023-05-02
42,29,449.9,2023-05-02
43,30,479.4,2023-05-02
44,29,327.6,2023-05-02
45,14,29.6,2023-05-02
46,30,381.3,2023-05-02
47,30,610.5,2023-05-02
48,25,308.6,2023-05-02
49,27,328.7,2023-05-02
50,28,352.2,2023-05-02
51,29,315.9,2023-05-02
52,30,401.8,2023-05-02
53,5,22.0,2023-05-02
54,28,264.0,2023-05-02
55,30,301.4,2023-05-02
56,26,286.2,2023-05-02
57,27,236.2,2023-05-02
58,30,472.0,2023-05-02
59,27,334.5,2023-05-02
60,28,300.9,2023-05-02
61,30,490.5,2023-05-02
62,28,327.4,2023-05-02
63,27,327.1,2023-05-02
64,28,340.7,2023-05-02
