,Unnamed: 0,level,power,date
0,0,30,474.7,2023-05-26
1,1,30,577.1,2023-05-26
2,2,30,496.0,2023-05-26
3,3,30,647.6,2023-05-26
4,4,30,668.2,2023-05-26
5,5,30,659.9,2023-05-26
6,6,30,651.4,2023-05-26
7,7,30,638.6,2023-05-26
8,8,30,572.0,2023-05-26
9,9,30,504.5,2023-05-26
10,10,30,485.2,2023-05-26
11,11,30,484.7,2023-05-26
12,12,30,462.0,2023-05-26
13,13,29,431.6,2023-05-26
14,14,28,529.3,2023-05-26
15,15,26,332.0,2023-05-26
16,16,30,476.7,2023-05-26
17,17,30,757.4,2023-05-26
18,18,30,521.1,2023-05-26
19,19,17,41.9,2023-05-26
20,20,28,449.0,2023-05-26
21,21,26,234.7,2023-05-26
22,22,27,366.4,2023-05-26
23,23,27,420.9,2023-05-26
24,24,22,116.6,2023-05-26
25,25,30,626.2,2023-05-26
26,26,25,337.3,2023-05-26
27,27,30,464.7,2023-05-26
28,28,29,396.0,2023-05-26
29,29,26,290.7,2023-05-26
30,30,23,209.5,2023-05-26
31,31,27,332.5,2023-05-26
32,32,19,40.9,2023-05-26
33,33,30,634.4,2023-05-26
34,34,27,292.9,2023-05-26
35,35,23,198.5,2023-05-26
36,36,30,671.8,2023-05-26
37,37,26,310.3,2023-05-26
38,38,30,617.2,2023-05-26
39,39,20,72.4,2023-05-26
40,40,28,437.9,2023-05-26
41,41,30,479.3,2023-05-26
42,42,30,497.4,2023-05-26
43,43,20,75.8,2023-05-26
44,44,29,341.1,2023-05-26
45,45,28,350.9,2023-05-26
46,46,24,312.4,2023-05-26
47,47,27,286.0,2023-05-26
48,48,20,75.1,2023-05-26
49,49,24,189.9,2023-05-26
50,50,29,329.6,2023-05-26
51,51,26,224.2,2023-05-26
52,52,25,258.7,2023-05-26
53,53,26,271.8,2023-05-26
54,54,13,22.4,2023-05-26
55,55,27,279.5,2023-05-26
56,56,22,150.2,2023-05-26
57,57,27,316.4,2023-05-26
58,58,25,239.6,2023-05-26
59,59,23,246.2,2023-05-26
60,60,26,306.5,2023-05-26
61,61,24,227.7,2023-05-26
62,62,25,267.4,2023-05-26
63,63,24,196.3,2023-05-26
64,64,26,307.8,2023-05-26
65,65,24,168.7,2023-05-26
66,66,21,99.1,2023-05-26
