,level,power,date
0,30,574.9,2023-05-02
1,30,625.9,2023-05-02
2,30,682.3,2023-05-02
3,30,597.2,2023-05-02
4,30,577.7,2023-05-02
5,30,600.4,2023-05-02
6,30,584.1,2023-05-02
7,30,454.2,2023-05-02
8,30,382.9,2023-05-02
9,27,301.8,2023-05-02
10,30,481.4,2023-05-02
11,30,469.9,2023-05-02
12,30,614.6,2023-05-02
13,29,463.2,2023-05-02
14,30,594.9,2023-05-02
15,27,396.1,2023-05-02
16,29,449.1,2023-05-02
17,28,380.0,2023-05-02
18,30,529.2,2023-05-02
19,29,418.7,2023-05-02
20,30,417.3,2023-05-02
21,29,427.3,2023-05-02
22,29,376.5,2023-05-02
23,30,634.0,2023-05-02
24,25,375.3,2023-05-02
25,30,686.2,2023-05-02
26,29,359.7,2023-05-02
27,30,554.4,2023-05-02
28,27,358.8,2023-05-02
29,30,655.1,2023-05-02
30,27,390.5,2023-05-02
31,30,491.4,2023-05-02
32,30,495.0,2023-05-02
33,30,532.9,2023-05-02
34,28,321.8,2023-05-02
35,28,353.6,2023-05-02
36,30,461.5,2023-05-02
37,30,594.3,2023-05-02
38,30,786.0,2023-05-02
39,30,548.7,2023-05-02
40,25,217.6,2023-05-02
41,29,471.7,2023-05-02
42,30,516.3,2023-05-02
43,30,432.8,2023-05-02
44,30,556.5,2023-05-02
45,29,356.6,2023-05-02
46,30,541.1,2023-05-02
47,29,385.0,2023-05-02
48,30,507.7,2023-05-02
49,30,620.2,2023-05-02
50,28,392.8,2023-05-02
51,26,314.6,2023-05-02
52,29,380.8,2023-05-02
53,26,226.6,2023-05-02
54,28,386.5,2023-05-02
55,26,302.6,2023-05-02
56,29,388.7,2023-05-02
57,26,234.0,2023-05-02
58,28,276.3,2023-05-02
59,26,229.2,2023-05-02
60,27,283.6,2023-05-02
61,28,288.6,2023-05-02
62,30,419.5,2023-05-02
63,28,423.8,2023-05-02
64,24,2390907.0,2023-05-02
65,25,214.2,2023-05-02
66,29,398.9,2023-05-02
67,28,360.1,2023-05-02
68,29,417.8,2023-05-02
