,level,power,date
0,30,708.9,2023-05-08
1,30,746.0,2023-05-08
2,30,760.5,2023-05-08
3,30,700.2,2023-05-08
4,30,557.8,2023-05-08
5,30,787.8,2023-05-08
6,30,687.8,2023-05-08
7,30,686.9,2023-05-08
8,30,685.2,2023-05-08
9,30,671.6,2023-05-08
10,30,633.0,2023-05-08
11,30,598.8,2023-05-08
12,30,557.0,2023-05-08
13,30,553.1,2023-05-08
14,30,498.2,2023-05-08
15,30,498.2,2023-05-08
16,30,489.9,2023-05-08
17,30,486.4,2023-05-08
18,30,480.5,2023-05-08
19,30,461.2,2023-05-08
20,30,443.3,2023-05-08
21,30,442.0,2023-05-08
22,30,417.5,2023-05-08
23,30,412.1,2023-05-08
24,29,331.4,2023-05-08
25,28,359.8,2023-05-08
26,30,570.1,2023-05-08
27,28,389.2,2023-05-08
28,30,521.0,2023-05-08
29,30,514.0,2023-05-08
30,30,511.4,2023-05-08
31,30,660.7,2023-05-08
32,30,616.4,2023-05-08
33,30,621.6,2023-05-08
34,28,383.3,2023-05-08
35,30,582.3,2023-05-08
36,30,566.4,2023-05-08
37,30,485.8,2023-05-08
38,30,459.6,2023-05-08
39,30,689.3,2023-05-08
40,29,400.1,2023-05-08
41,30,707.6,2023-05-08
42,30,515.5,2023-05-08
43,30,568.4,2023-05-08
44,30,500.9,2023-05-08
45,30,459.6,2023-05-08
46,30,485.3,2023-05-08
47,30,647.0,2023-05-08
48,30,402.8,2023-05-08
49,28,382.9,2023-05-08
50,27,472.8,2023-05-08
51,30,451.7,2023-05-08
52,30,459.7,2023-05-08
53,28,371.6,2023-05-08
54,28,376.3,2023-05-08
55,30,345.9,2023-05-08
56,30,647.0,2023-05-08
57,30,394.2,2023-05-08
58,30,574.3,2023-05-08
59,30,456.7,2023-05-08
60,28,433.3,2023-05-08
61,29,323.0,2023-05-08
62,28,331.9,2023-05-08
63,30,419.0,2023-05-08
64,27,307.7,2023-05-08
65,30,559.6,2023-05-08
66,30,659.8,2023-05-08
67,30,386.6,2023-05-08
68,30,531.4,2023-05-08
