,level,power,date
0,30,493.8,2023-05-02
1,30,601.6,2023-05-02
2,30,476.7,2023-05-02
3,30,497.2,2023-05-02
4,30,510.6,2023-05-02
5,30,561.2,2023-05-02
6,30,514.9,2023-05-02
7,30,514.4,2023-05-02
8,30,494.4,2023-05-02
9,26,353.2,2023-05-02
10,30,420.5,2023-05-02
11,30,479.4,2023-05-02
12,30,573.1,2023-05-02
13,29,413.1,2023-05-02
14,30,364.8,2023-05-02
15,30,451.2,2023-05-02
16,29,325.1,2023-05-02
17,30,485.2,2023-05-02
18,29,395.4,2023-05-02
19,30,478.5,2023-05-02
20,26,363.2,2023-05-02
21,27,225.1,2023-05-02
22,29,440.1,2023-05-02
23,30,0.0,2023-05-02
24,28,350.7,2023-05-02
25,30,503.2,2023-05-02
26,25,322.6,2023-05-02
27,29,465.8,2023-05-02
28,27,256.7,2023-05-02
29,25,324.0,2023-05-02
30,29,415.3,2023-05-02
31,28,427.1,2023-05-02
32,25,300.5,2023-05-02
33,27,316.5,2023-05-02
34,29,410.5,2023-05-02
35,24,229.2,2023-05-02
36,26,312.0,2023-05-02
37,25,357.5,2023-05-02
38,28,10.0,2023-05-02
39,28,278.1,2023-05-02
40,29,453.4,2023-05-02
41,29,305.1,2023-05-02
42,26,280.2,2023-05-02
43,29,348.1,2023-05-02
44,26,289.7,2023-05-02
45,30,347.6,2023-05-02
46,27,346.4,2023-05-02
47,27,308.0,2023-05-02
48,28,207.9,2023-05-02
49,24,203.6,2023-05-02
50,27,350.6,2023-05-02
51,27,380.5,2023-05-02
52,24,142.8,2023-05-02
53,30,488.5,2023-05-02
54,24,227.1,2023-05-02
55,26,267.1,2023-05-02
56,29,382.2,2023-05-02
57,26,296.6,2023-05-02
58,28,315.9,2023-05-02
59,25,167.3,2023-05-02
60,29,293.6,2023-05-02
61,28,263.1,2023-05-02
62,27,343.2,2023-05-02
63,24,260.7,2023-05-02
64,26,355.3,2023-05-02
65,29,378.8,2023-05-02
66,28,354.4,2023-05-02
67,27,349.7,2023-05-02
68,27,327.0,2023-05-02
