,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,level,power,date
0,0,0,0,0,0,30,612.6,2023-05-21
1,1,1,1,1,1,30,648.8,2023-05-21
2,2,2,2,2,2,30,471.4,2023-05-21
3,3,3,3,3,3,30,633.0,2023-05-21
4,4,4,4,4,4,30,627.3,2023-05-21
5,5,5,5,5,5,30,551.0,2023-05-21
6,6,6,6,6,6,30,511.7,2023-05-21
7,7,7,7,7,7,30,407.4,2023-05-21
8,8,8,8,8,8,30,573.7,2023-05-21
9,9,9,9,9,9,30,572.9,2023-05-21
10,10,10,10,10,10,30,525.2,2023-05-21
11,11,11,11,11,11,30,475.9,2023-05-21
12,12,12,12,12,12,29,514.3,2023-05-21
13,13,13,13,13,13,29,400.1,2023-05-21
14,14,14,14,14,14,30,563.3,2023-05-21
15,15,15,15,15,15,30,411.9,2023-05-21
16,16,16,16,16,16,29,309.9,2023-05-21
17,17,17,17,17,17,30,615.3,2023-05-21
18,18,18,18,18,18,30,503.3,2023-05-21
19,19,19,19,19,19,28,459.6,2023-05-21
20,20,20,20,20,20,30,484.3,2023-05-21
21,21,21,21,21,21,30,537.2,2023-05-21
22,22,22,22,22,22,30,448.7,2023-05-21
23,23,23,23,23,23,30,498.8,2023-05-21
24,24,24,24,24,24,30,479.2,2023-05-21
25,25,25,25,25,25,30,653.1,2023-05-21
26,26,26,26,26,26,30,442.3,2023-05-21
27,27,27,27,27,27,30,442.9,2023-05-21
28,28,28,28,28,28,30,555.0,2023-05-21
29,29,29,29,29,29,30,587.1,2023-05-21
30,30,30,30,30,30,30,463.8,2023-05-21
31,31,31,31,31,31,30,533.1,2023-05-21
32,32,32,32,32,32,29,476.5,2023-05-21
33,33,33,33,33,33,30,493.6,2023-05-21
34,34,34,34,34,34,30,483.2,2023-05-21
35,35,35,35,35,35,30,545.3,2023-05-21
36,36,36,36,36,36,30,354.0,2023-05-21
37,37,37,37,37,37,30,512.4,2023-05-21
38,38,38,38,38,38,30,486.0,2023-05-21
39,39,39,39,39,39,28,397.5,2023-05-21
40,40,40,40,40,40,30,402.1,2023-05-21
41,41,41,41,41,41,30,394.5,2023-05-21
42,42,42,42,42,42,30,483.2,2023-05-21
43,43,43,43,43,43,29,345.1,2023-05-21
44,44,44,44,44,44,30,379.4,2023-05-21
45,45,45,45,45,45,30,551.5,2023-05-21
46,46,46,46,46,46,30,396.3,2023-05-21
47,47,47,47,47,47,30,414.8,2023-05-21
48,48,48,48,48,48,30,384.2,2023-05-21
49,49,49,49,49,49,29,426.4,2023-05-21
50,50,50,50,50,50,30,413.4,2023-05-21
51,51,51,51,51,51,30,383.3,2023-05-21
52,52,52,52,52,52,30,648.8,2023-05-21
53,53,53,53,53,53,30,476.3,2023-05-21
54,54,54,54,54,54,30,420.5,2023-05-21
55,55,55,55,55,55,29,401.8,2023-05-21
56,56,56,56,56,56,30,450.7,2023-05-21
57,57,57,57,57,57,30,362.3,2023-05-21
58,58,58,58,58,58,30,471.8,2023-05-21
59,59,59,59,59,59,30,523.9,2023-05-21
