,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,level,power,date
0,0,0,0,0,0,0,0,0,30,541.0,2023-05-21
1,1,1,1,1,1,1,1,1,30,647.1,2023-05-21
2,2,2,2,2,2,2,2,2,29,390.1,2023-05-21
3,3,3,3,3,3,3,3,3,30,581.7,2023-05-21
4,4,4,4,4,4,4,4,4,30,6.0,2023-05-21
5,5,5,5,5,5,5,5,5,30,434.5,2023-05-21
6,6,6,6,6,6,6,6,6,28,288.2,2023-05-21
7,7,7,7,7,7,7,7,7,18,60.6,2023-05-21
8,8,8,8,8,8,8,8,8,30,457.9,2023-05-21
9,9,9,9,9,9,9,9,9,29,334.1,2023-05-21
10,10,10,10,10,10,10,10,10,30,543.1,2023-05-21
11,11,11,11,11,11,11,11,11,29,490.6,2023-05-21
12,12,12,12,12,12,12,12,12,24,288.3,2023-05-21
13,13,13,13,13,13,13,13,13,27,223.6,2023-05-21
14,14,14,14,14,14,14,14,14,24,269.0,2023-05-21
15,15,15,15,15,15,15,15,15,30,579.3,2023-05-21
16,16,16,16,16,16,16,16,16,27,336.7,2023-05-21
17,17,17,17,17,17,17,17,17,29,364.7,2023-05-21
18,18,18,18,18,18,18,18,18,27,373.5,2023-05-21
19,19,19,19,19,19,19,19,19,24,242.1,2023-05-21
20,20,20,20,20,20,20,20,20,27,469.3,2023-05-21
21,21,21,21,21,21,21,21,21,27,300.8,2023-05-21
22,22,22,22,22,22,22,22,22,30,345.9,2023-05-21
23,23,23,23,23,23,23,23,23,30,451.2,2023-05-21
24,24,24,24,24,24,24,24,24,29,449.9,2023-05-21
25,25,25,25,25,25,25,25,25,25,297.4,2023-05-21
26,26,26,26,26,26,26,26,26,30,505.0,2023-05-21
27,27,27,27,27,27,27,27,27,28,487.6,2023-05-21
28,28,28,28,28,28,28,28,28,30,598.3,2023-05-21
29,29,29,29,29,29,29,29,29,29,349.4,2023-05-21
30,30,30,30,30,30,30,30,30,29,406.4,2023-05-21
31,31,31,31,31,31,31,31,31,27,450.8,2023-05-21
32,32,32,32,32,32,32,32,32,24,241.4,2023-05-21
33,33,33,33,33,33,33,33,33,26,310.7,2023-05-21
34,34,34,34,34,34,34,34,34,27,315.1,2023-05-21
35,35,35,35,35,35,35,35,35,29,354.2,2023-05-21
36,36,36,36,36,36,36,36,36,25,325.9,2023-05-21
37,37,37,37,37,37,37,37,37,27,377.2,2023-05-21
38,38,38,38,38,38,38,38,38,25,239.6,2023-05-21
39,39,39,39,39,39,39,39,39,24,198.7,2023-05-21
40,40,40,40,40,40,40,40,40,30,603.8,2023-05-21
41,41,41,41,41,41,41,41,41,26,261.0,2023-05-21
42,42,42,42,42,42,42,42,42,25,181.4,2023-05-21
43,43,43,43,43,43,43,43,43,30,430.3,2023-05-21
44,44,44,44,44,44,44,44,44,28,387.6,2023-05-21
45,45,45,45,45,45,45,45,45,30,454.6,2023-05-21
46,46,46,46,46,46,46,46,46,30,565.8,2023-05-21
