,level,power,date
0,30,395.3,2023-05-21
1,30,638.4,2023-05-21
2,30,483.7,2023-05-21
3,30,443.2,2023-05-21
4,30,451.3,2023-05-21
5,30,679.1,2023-05-21
6,28,439.2,2023-05-21
7,28,438.1,2023-05-21
8,27,415.8,2023-05-21
9,27,376.6,2023-05-21
10,26,325.9,2023-05-21
11,30,416.3,2023-05-21
12,30,476.4,2023-05-21
13,30,516.4,2023-05-21
14,28,345.1,2023-05-21
15,30,569.5,2023-05-21
16,27,394.3,2023-05-21
17,26,362.9,2023-05-21
18,26,354.5,2023-05-21
19,30,473.2,2023-05-21
20,29,390.9,2023-05-21
21,28,326.8,2023-05-21
22,26,334.5,2023-05-21
23,30,438.0,2023-05-21
24,30,626.4,2023-05-21
25,27,365.2,2023-05-21
26,28,383.3,2023-05-21
27,28,327.4,2023-05-21
28,24,292.6,2023-05-21
29,30,445.7,2023-05-21
30,27,399.8,2023-05-21
31,27,283.2,2023-05-21
32,30,333.4,2023-05-21
33,23,115.4,2023-05-21
34,27,299.2,2023-05-21
35,26,256.3,2023-05-21
36,30,564.9,2023-05-21
37,30,466.3,2023-05-21
38,23,127.2,2023-05-21
39,29,376.2,2023-05-21
40,25,274.4,2023-05-21
41,29,447.6,2023-05-21
42,29,327.4,2023-05-21
43,26,235.4,2023-05-21
44,30,398.1,2023-05-21
45,29,329.9,2023-05-21
46,30,442.2,2023-05-21
47,28,367.3,2023-05-21
48,30,387.7,2023-05-21
49,28,268.3,2023-05-21
50,28,231.7,2023-05-21
51,29,315.8,2023-05-21
52,25,163.4,2023-05-21
53,25,218.1,2023-05-21
