,level,power,date
0,29,394.4,2023-05-02
1,30,545.8,2023-05-02
2,30,630.3,2023-05-02
3,30,466.3,2023-05-02
4,30,565.1,2023-05-02
5,30,579.5,2023-05-02
6,30,545.5,2023-05-02
7,30,489.9,2023-05-02
8,28,432.8,2023-05-02
9,26,318.3,2023-05-02
10,30,686.9,2023-05-02
11,30,401.3,2023-05-02
12,30,454.5,2023-05-02
13,30,540.4,2023-05-02
14,29,413.9,2023-05-02
15,29,530.9,2023-05-02
16,29,418.3,2023-05-02
17,28,389.8,2023-05-02
18,30,587.7,2023-05-02
19,30,586.2,2023-05-02
20,30,561.3,2023-05-02
21,30,580.9,2023-05-02
22,30,552.5,2023-05-02
23,26,349.5,2023-05-02
24,26,357.7,2023-05-02
25,30,449.9,2023-05-02
26,30,553.3,2023-05-02
27,29,363.4,2023-05-02
28,30,345.0,2023-05-02
29,30,453.6,2023-05-02
30,29,301.2,2023-05-02
31,29,377.4,2023-05-02
32,30,449.0,2023-05-02
33,9,0.0,2023-05-02
34,27,337.3,2023-05-02
35,26,371.7,2023-05-02
36,30,397.0,2023-05-02
37,27,385.5,2023-05-02
38,30,393.7,2023-05-02
39,30,344.9,2023-05-02
40,29,406.5,2023-05-02
41,26,326.3,2023-05-02
42,28,346.0,2023-05-02
43,28,274.6,2023-05-02
44,30,430.0,2023-05-02
45,30,508.3,2023-05-02
46,27,373.3,2023-05-02
47,29,379.9,2023-05-02
48,16,35.6,2023-05-02
49,29,427.3,2023-05-02
