,level,power,date
0,30,523.7,2023-05-02
1,30,543.3,2023-05-02
2,28,465.1,2023-05-02
3,30,511.3,2023-05-02
4,30,572.4,2023-05-02
5,30,604.4,2023-05-02
6,30,529.1,2023-05-02
7,30,505.4,2023-05-02
8,30,497.2,2023-05-02
9,28,434.6,2023-05-02
10,28,404.8,2023-05-02
11,29,432.7,2023-05-02
12,30,524.8,2023-05-02
13,30,538.3,2023-05-02
14,30,436.2,2023-05-02
15,29,479.3,2023-05-02
16,30,484.9,2023-05-02
17,28,328.1,2023-05-02
18,30,462.2,2023-05-02
19,28,280.8,2023-05-02
20,30,441.5,2023-05-02
21,27,339.6,2023-05-02
22,30,427.4,2023-05-02
23,30,506.7,2023-05-02
24,25,253.9,2023-05-02
25,30,355.9,2023-05-02
26,30,555.0,2023-05-02
27,28,432.1,2023-05-02
28,29,400.7,2023-05-02
29,30,499.8,2023-05-02
30,29,386.0,2023-05-02
31,29,460.8,2023-05-02
32,29,407.4,2023-05-02
33,28,374.8,2023-05-02
34,29,400.4,2023-05-02
35,27,396.8,2023-05-02
36,29,421.8,2023-05-02
37,28,395.6,2023-05-02
38,30,647.3,2023-05-02
39,26,382.3,2023-05-02
40,27,97.0,2023-05-02
41,30,437.5,2023-05-02
42,30,418.9,2023-05-02
43,30,471.4,2023-05-02
44,25,284.4,2023-05-02
45,28,379.1,2023-05-02
46,28,346.5,2023-05-02
47,30,444.5,2023-05-02
48,30,321.2,2023-05-02
49,30,632.2,2023-05-02
50,28,1024.0,2023-05-02
51,25,288.4,2023-05-02
52,27,331.9,2023-05-02
53,26,267.1,2023-05-02
54,24,146.8,2023-05-02
55,26,267.6,2023-05-02
56,26,207.1,2023-05-02
57,30,422.9,2023-05-02
58,28,412.1,2023-05-02
59,27,316.8,2023-05-02
