,level,power,date
0,28,392.9,2023-05-16
1,29,381.1,2023-05-16
2,29,359.3,2023-05-16
3,28,412.0,2023-05-16
4,25,325.0,2023-05-16
5,25,348.9,2023-05-16
6,25,333.3,2023-05-16
7,25,272.7,2023-05-16
8,23,248.0,2023-05-16
9,27,357.5,2023-05-16
10,25,227.3,2023-05-16
11,22,181.3,2023-05-16
12,25,249.8,2023-05-16
13,22,162.8,2023-05-16
14,28,422.2,2023-05-16
15,25,325.0,2023-05-16
16,22,156.9,2023-05-16
17,26,371.8,2023-05-16
18,25,337.8,2023-05-16
19,27,372.1,2023-05-16
20,22,168.5,2023-05-16
21,23,202.7,2023-05-16
22,26,329.6,2023-05-16
23,27,331.8,2023-05-16
24,27,358.5,2023-05-16
25,23,279.1,2023-05-16
26,24,230.9,2023-05-16
27,26,342.9,2023-05-16
28,25,153.2,2023-05-16
29,22,138.7,2023-05-16
30,23,229.7,2023-05-16
31,25,310.4,2023-05-16
32,19,107.4,2023-05-16
33,22,187.7,2023-05-16
34,26,279.5,2023-05-16
35,23,202.6,2023-05-16
36,25,289.0,2023-05-16
37,22,122.4,2023-05-16
38,24,198.1,2023-05-16
39,21,112.6,2023-05-16
40,24,167.4,2023-05-16
41,20,62.5,2023-05-16
42,22,158.1,2023-05-16
43,22,75.4,2023-05-16
44,22,126.3,2023-05-16
45,18,48.3,2023-05-16
46,20,115.9,2023-05-16
47,26,256.0,2023-05-16
48,21,117.1,2023-05-16
49,21,142.2,2023-05-16
50,24,169.8,2023-05-16
51,2,84.4,2023-05-16
