,level,power,date
0,30,815.6,2023-05-21
1,30,709.1,2023-05-21
2,30,559.7,2023-05-21
3,30,648.8,2023-05-21
4,30,697.6,2023-05-21
5,30,623.2,2023-05-21
6,30,591.4,2023-05-21
7,30,545.6,2023-05-21
8,30,541.8,2023-05-21
9,30,532.9,2023-05-21
10,30,507.0,2023-05-21
11,30,502.0,2023-05-21
12,30,495.6,2023-05-21
13,30,421.9,2023-05-21
14,29,390.5,2023-05-21
15,27,407.7,2023-05-21
16,27,330.6,2023-05-21
17,30,486.7,2023-05-21
18,30,450.2,2023-05-21
19,28,425.3,2023-05-21
20,30,617.4,2023-05-21
21,30,671.5,2023-05-21
22,30,591.7,2023-05-21
23,30,592.6,2023-05-21
24,30,515.0,2023-05-21
25,30,553.8,2023-05-21
26,29,420.9,2023-05-21
27,30,525.9,2023-05-21
28,30,572.3,2023-05-21
29,29,432.2,2023-05-21
30,30,597.2,2023-05-21
31,28,337.4,2023-05-21
32,30,494.9,2023-05-21
33,30,639.7,2023-05-21
34,30,652.8,2023-05-21
35,30,600.1,2023-05-21
36,29,296.8,2023-05-21
37,27,447.8,2023-05-21
38,30,569.9,2023-05-21
39,28,505.7,2023-05-21
40,30,505.6,2023-05-21
41,29,426.0,2023-05-21
42,29,474.7,2023-05-21
43,28,446.5,2023-05-21
44,30,532.3,2023-05-21
45,30,471.0,2023-05-21
46,30,556.2,2023-05-21
47,27,392.3,2023-05-21
48,30,650.6,2023-05-21
49,30,442.7,2023-05-21
50,29,294.2,2023-05-21
51,29,379.2,2023-05-21
52,30,470.4,2023-05-21
53,27,273.3,2023-05-21
54,30,448.3,2023-05-21
55,29,452.7,2023-05-21
56,30,542.2,2023-05-21
57,27,355.7,2023-05-21
58,28,333.4,2023-05-21
59,29,444.3,2023-05-21
60,29,299.2,2023-05-21
61,26,316.0,2023-05-21
62,29,436.9,2023-05-21
63,30,601.5,2023-05-21
64,30,501.7,2023-05-21
65,30,536.3,2023-05-21
66,27,198.3,2023-05-21
67,27,357.2,2023-05-21
68,30,390.7,2023-05-21
69,25,271.3,2023-05-21
