level,power
30,561.7
30,626.5
30,564.9
30,516
30,444.5
30,538.7
30,487.2
30,438.8
29,441.5
29,417.6
29,406.2
28,356
28,350.3
28,345.4
27,388.2
27,379.4
25,296
30,500.9
27,379.2
30,511.6
30,373.5
28,426.9
29,332.7
26,369.9
30,516
30,557.4
25,303.7
30,563.4
30,483.6
28,423.7
30,431.6
30,427.6
18,591325
27,254.5
25,228.5
25,335.3
27,342.5
25,246.9
27,387.9
26,379.7
27,380.8
29,382.9
23,190.9
27,354.9
26,254.9
25,302.5
30,445.1
26,250822
28,422.3
30,473.7
27,403
30,591.9
26,216.8
30,421.1
29,383.3
30,422.2
29,399.2
27,321.2
28,341.8
26,327.4
23,133.1
29,452.8
26,248.4
29,413
30,474.6
30,440
29,423.8
