,level,power,date
0,30,592.6,2023-05-02
1,30,764.9,2023-05-02
2,30,609.2,2023-05-02
3,30,589.3,2023-05-02
4,30,648.4,2023-05-02
5,30,636.6,2023-05-02
6,30,590.3,2023-05-02
7,30,568.1,2023-05-02
8,30,559.1,2023-05-02
9,30,542.6,2023-05-02
10,30,538.4,2023-05-02
11,30,517.4,2023-05-02
12,30,453.2,2023-05-02
13,29,497.5,2023-05-02
14,27,362.2,2023-05-02
15,27,334.3,2023-05-02
16,26,354.6,2023-05-02
17,26,327.4,2023-05-02
18,26,253.8,2023-05-02
19,25,304.9,2023-05-02
20,29,423.9,2023-05-02
21,30,426.3,2023-05-02
22,30,490.3,2023-05-02
23,30,537.4,2023-05-02
24,30,548.6,2023-05-02
25,30,504.0,2023-05-02
26,30,483.5,2023-05-02
27,30,539.1,2023-05-02
28,28,421.7,2023-05-02
29,30,542.3,2023-05-02
30,30,583.3,2023-05-02
31,30,593.3,2023-05-02
32,30,579.6,2023-05-02
33,24,142.5,2023-05-02
34,30,465.0,2023-05-02
35,30,548.4,2023-05-02
36,30,427.7,2023-05-02
37,29,412.4,2023-05-02
38,30,596.7,2023-05-02
39,28,417.1,2023-05-02
40,30,489.0,2023-05-02
41,29,375.4,2023-05-02
42,30,446.2,2023-05-02
43,26,203.4,2023-05-02
44,30,386.6,2023-05-02
45,29,385.1,2023-05-02
46,30,415.9,2023-05-02
47,23,153.9,2023-05-02
48,29,328.8,2023-05-02
49,27,433.5,2023-05-02
50,26,341.3,2023-05-02
51,30,501.6,2023-05-02
52,30,303.3,2023-05-02
53,26,315.2,2023-05-02
54,30,435.8,2023-05-02
55,29,328.5,2023-05-02
56,26,194.0,2023-05-02
57,26,258.3,2023-05-02
58,27,268.7,2023-05-02
59,25,291.3,2023-05-02
60,25,271.6,2023-05-02
