,level,power,date
0,30,702.2,2023-05-02
1,30,702.8,2023-05-02
2,30,561.2,2023-05-02
3,30,630.1,2023-05-02
4,30,510.1,2023-05-02
5,30,671.0,2023-05-02
6,30,655.4,2023-05-02
7,30,546.8,2023-05-02
8,30,528.5,2023-05-02
9,30,484.9,2023-05-02
10,30,481.5,2023-05-02
11,30,423.7,2023-05-02
12,30,626.1,2023-05-02
13,30,619.2,2023-05-02
14,30,673.4,2023-05-02
15,30,346.0,2023-05-02
16,30,398.8,2023-05-02
17,29,435.2,2023-05-02
18,30,482.5,2023-05-02
19,30,568.1,2023-05-02
20,30,488.5,2023-05-02
21,29,415.6,2023-05-02
22,28,370.4,2023-05-02
23,30,500.2,2023-05-02
24,30,455.9,2023-05-02
25,30,555.1,2023-05-02
26,30,569.0,2023-05-02
27,30,617.2,2023-05-02
28,28,363.4,2023-05-02
29,28,331.0,2023-05-02
30,28,388.1,2023-05-02
31,29,362.3,2023-05-02
32,30,419.0,2023-05-02
33,30,603.6,2023-05-02
34,28,390.4,2023-05-02
35,29,413.2,2023-05-02
36,26,283.4,2023-05-02
37,30,386.9,2023-05-02
38,25,347.6,2023-05-02
39,29,357.4,2023-05-02
40,28,327.2,2023-05-02
41,30,472.1,2023-05-02
42,30,500.6,2023-05-02
43,28,430.3,2023-05-02
44,30,474.4,2023-05-02
45,29,447.1,2023-05-02
46,29,401.0,2023-05-02
47,30,477.6,2023-05-02
48,29,374.2,2023-05-02
49,29,346.9,2023-05-02
50,27,395.4,2023-05-02
51,30,377.9,2023-05-02
52,26,376.8,2023-05-02
53,30,460.5,2023-05-02
54,30,484.7,2023-05-02
55,28,322.4,2023-05-02
56,30,420.1,2023-05-02
57,28,313.3,2023-05-02
58,29,335.6,2023-05-02
59,29,363.3,2023-05-02
