,level,power,date
0,30,535.9,2023-05-16
1,30,474.3,2023-05-16
2,30,484.6,2023-05-16
3,30,552.3,2023-05-16
4,30,531.2,2023-05-16
5,30,516.4,2023-05-16
6,30,467.2,2023-05-16
7,30,455.1,2023-05-16
8,30,438.2,2023-05-16
9,28,367.1,2023-05-16
10,30,413.6,2023-05-16
11,30,556.0,2023-05-16
12,29,517.4,2023-05-16
13,30,737.4,2023-05-16
14,30,532.1,2023-05-16
15,27,332.5,2023-05-16
16,30,472.8,2023-05-16
17,18,69.9,2023-05-16
18,30,503.9,2023-05-16
19,28,373.0,2023-05-16
20,30,540.8,2023-05-16
21,30,441.9,2023-05-16
22,30,551.7,2023-05-16
23,23,336.4,2023-05-16
24,20,98.8,2023-05-16
25,29,395.7,2023-05-16
26,30,543.4,2023-05-16
27,18,79.4,2023-05-16
28,20,98.5,2023-05-16
29,30,644.4,2023-05-16
30,26,366.1,2023-05-16
31,26,283.0,2023-05-16
32,29,433.5,2023-05-16
33,17,58.4,2023-05-16
34,30,476.4,2023-05-16
35,18,77.3,2023-05-16
36,30,525.4,2023-05-16
37,29,381.1,2023-05-16
38,26,281.2,2023-05-16
39,17,46.5,2023-05-16
40,28,330.2,2023-05-16
41,30,385.4,2023-05-16
42,27,289.5,2023-05-16
43,17,43.6,2023-05-16
44,26,190.6,2023-05-16
45,25,259.1,2023-05-16
46,17,28.0,2023-05-16
47,25,229.8,2023-05-16
48,19,62.9,2023-05-16
49,15,31.0,2023-05-16
50,27,3.0,2023-05-16
51,26,324.6,2023-05-16
52,27,264.1,2023-05-16
53,29,369.0,2023-05-16
54,29,324.8,2023-05-16
