,level,power,date
0,30,481.4,2023-05-21
1,30,423.8,2023-05-21
2,30,484.8,2023-05-21
3,30,580.6,2023-05-21
4,30,437.8,2023-05-21
5,28,422.6,2023-05-21
6,28,394.5,2023-05-21
7,27,351.8,2023-05-21
8,27,331.1,2023-05-21
9,30,547.4,2023-05-21
10,29,457.1,2023-05-21
11,30,402.7,2023-05-21
12,25,368.4,2023-05-21
13,29,416.4,2023-05-21
14,30,639.6,2023-05-21
15,29,362.5,2023-05-21
16,30,536.5,2023-05-21
17,30,523.2,2023-05-21
18,25,361.6,2023-05-21
19,27,408.0,2023-05-21
20,27,343.9,2023-05-21
21,27,473.8,2023-05-21
22,30,530.2,2023-05-21
23,25,169.6,2023-05-21
24,30,535.9,2023-05-21
25,28,292.6,2023-05-21
26,30,482.5,2023-05-21
27,27,309.5,2023-05-21
28,25,356.1,2023-05-21
29,15,28.5,2023-05-21
30,29,427.9,2023-05-21
31,29,373.3,2023-05-21
32,29,429.9,2023-05-21
33,30,494.9,2023-05-21
34,28,357.3,2023-05-21
35,26,327.9,2023-05-21
36,27,448.3,2023-05-21
37,29,424.9,2023-05-21
38,24,242.5,2023-05-21
39,26,191.8,2023-05-21
40,25,371.4,2023-05-21
41,21,109.8,2023-05-21
42,28,349.1,2023-05-21
43,23,210.1,2023-05-21
44,26,381.2,2023-05-21
45,30,417.8,2023-05-21
46,29,430.7,2023-05-21
47,30,450.4,2023-05-21
48,29,371.0,2023-05-21
49,22,150.4,2023-05-21
50,30,462.6,2023-05-21
51,29,399.7,2023-05-21
52,27,399.2,2023-05-21
53,24,218.2,2023-05-21
54,27,203.8,2023-05-21
55,29,308.4,2023-05-21
56,26,281.2,2023-05-21
57,28,330.4,2023-05-21
58,26,268.1,2023-05-21
59,30,462.2,2023-05-21
60,25,176.0,2023-05-21
61,27,321.6,2023-05-21
62,29,312.8,2023-05-21
