,level,power,date
0,30,510.4,2023-05-16
1,30,629.0,2023-05-16
2,30,565.1,2023-05-16
3,30,475.0,2023-05-16
4,30,495.0,2023-05-16
5,30,473.6,2023-05-16
6,30,429.5,2023-05-16
7,30,385.0,2023-05-16
8,28,433.2,2023-05-16
9,26,338.9,2023-05-16
10,30,512.6,2023-05-16
11,30,555.7,2023-05-16
12,26,297.5,2023-05-16
13,29,367.1,2023-05-16
14,29,412.8,2023-05-16
15,21,116.5,2023-05-16
16,19,67.2,2023-05-16
17,28,372.9,2023-05-16
18,29,313.5,2023-05-16
19,19,80.2,2023-05-16
20,29,410.2,2023-05-16
21,30,563.6,2023-05-16
22,28,372.1,2023-05-16
23,29,330.0,2023-05-16
24,29,229.1,2023-05-16
25,27,331.1,2023-05-16
26,27,349.5,2023-05-16
27,30,326.8,2023-05-16
28,26,353.8,2023-05-16
29,21,100.8,2023-05-16
30,27,188.2,2023-05-16
31,26,377.8,2023-05-16
32,30,514.5,2023-05-16
33,25,314.4,2023-05-16
34,29,359.3,2023-05-16
35,28,403.3,2023-05-16
36,29,386.2,2023-05-16
37,29,360.0,2023-05-16
38,29,324.7,2023-05-16
39,19,95.4,2023-05-16
40,26,360.6,2023-05-16
41,19,92.0,2023-05-16
42,19,59.5,2023-05-16
43,29,300.5,2023-05-16
44,26,368.0,2023-05-16
45,23,204.2,2023-05-16
46,30,469.5,2023-05-16
47,29,378.5,2023-05-16
48,27,387.2,2023-05-16
49,29,369.6,2023-05-16
50,25,394.7,2023-05-16
51,25,284.1,2023-05-16
52,19,68.0,2023-05-16
53,20,99.8,2023-05-16
54,23,218.3,2023-05-16
55,19,84.4,2023-05-16
56,30,373.2,2023-05-16
57,27,255.0,2023-05-16
58,26,256.6,2023-05-16
59,27,300.9,2023-05-16
60,29,382.8,2023-05-16
61,26,252.6,2023-05-16
62,24,256.6,2023-05-16
63,24,180.8,2023-05-16
64,27,319.7,2023-05-16
65,29,415.3,2023-05-16
66,26,211.7,2023-05-16
67,27,325.3,2023-05-16
