,level,power,date
0,30,670.3,2023-05-16
1,29,489.4,2023-05-16
2,29,423.6,2023-05-16
3,30,438.3,2023-05-16
4,30,580.6,2023-05-16
5,30,655.4,2023-05-16
6,30,632.5,2023-05-16
7,30,628.4,2023-05-16
8,30,584.1,2023-05-16
9,30,545.3,2023-05-16
10,30,452.8,2023-05-16
11,29,376.5,2023-05-16
12,28,403.8,2023-05-16
13,27,414.4,2023-05-16
14,27,392.8,2023-05-16
15,29,435.4,2023-05-16
16,29,393.6,2023-05-16
17,28,468.3,2023-05-16
18,28,409.8,2023-05-16
19,30,447.0,2023-05-16
20,30,436.0,2023-05-16
21,30,436.6,2023-05-16
22,30,561.5,2023-05-16
23,29,441.8,2023-05-16
24,29,394.7,2023-05-16
25,26,286.6,2023-05-16
26,30,425.1,2023-05-16
27,30,671.7,2023-05-16
28,29,374.8,2023-05-16
29,30,518.5,2023-05-16
30,26,346.3,2023-05-16
31,30,479.3,2023-05-16
32,28,400.9,2023-05-16
33,24,256.3,2023-05-16
34,29,368.8,2023-05-16
35,25,337.8,2023-05-16
36,27,392.9,2023-05-16
37,29,421.8,2023-05-16
38,29,360.9,2023-05-16
39,27,328.7,2023-05-16
40,30,520.0,2023-05-16
41,30,590.8,2023-05-16
42,27,440.6,2023-05-16
43,26,329.1,2023-05-16
44,24,246.0,2023-05-16
45,24,279.7,2023-05-16
46,26,322.1,2023-05-16
47,30,517.8,2023-05-16
48,28,365.7,2023-05-16
49,30,435.6,2023-05-16
50,30,402.9,2023-05-16
51,30,564.2,2023-05-16
52,27,265.0,2023-05-16
53,29,438.2,2023-05-16
54,29,361.2,2023-05-16
55,25,273.0,2023-05-16
56,24,196.2,2023-05-16
57,29,344.0,2023-05-16
58,24,215.1,2023-05-16
59,26,302.1,2023-05-16
60,28,393.6,2023-05-16
61,29,373.1,2023-05-16
62,29,412.6,2023-05-16
63,28,313.7,2023-05-16
64,24,250.1,2023-05-16
65,26,228.4,2023-05-16
