,level,power,date
0,30,752.2,2023-05-08
1,28,391.8,2023-05-08
2,30,649.9,2023-05-08
3,30,570.3,2023-05-08
4,30,470.4,2023-05-08
5,30,594.2,2023-05-08
6,30,527.8,2023-05-08
7,30,507.4,2023-05-08
8,30,486.6,2023-05-08
9,30,436.6,2023-05-08
10,30,406.1,2023-05-08
11,29,468.2,2023-05-08
12,29,422.3,2023-05-08
13,29,323.7,2023-05-08
14,18,99.5,2023-05-08
15,30,536.9,2023-05-08
16,27,275.1,2023-05-08
17,30,587.4,2023-05-08
18,26,364.9,2023-05-08
19,30,467.2,2023-05-08
20,29,419.9,2023-05-08
21,30,440.2,2023-05-08
22,30,527.4,2023-05-08
23,28,394.6,2023-05-08
24,30,474.5,2023-05-08
25,29,409.5,2023-05-08
26,27,394.8,2023-05-08
27,30,707.9,2023-05-08
28,30,577.3,2023-05-08
29,30,465.0,2023-05-08
30,29,450.2,2023-05-08
31,30,521.9,2023-05-08
32,28,396.1,2023-05-08
33,30,484.4,2023-05-08
34,30,484.9,2023-05-08
35,30,463.6,2023-05-08
36,30,504.5,2023-05-08
37,30,532.4,2023-05-08
38,30,446.9,2023-05-08
39,30,480.3,2023-05-08
40,26,267.5,2023-05-08
41,25,296.6,2023-05-08
42,30,414.8,2023-05-08
43,30,486.4,2023-05-08
44,30,601.6,2023-05-08
45,30,385.7,2023-05-08
46,30,700.9,2023-05-08
47,30,545.5,2023-05-08
48,30,605.2,2023-05-08
49,30,6110.9,2023-05-08
50,12,28.0,2023-05-08
51,29,449.3,2023-05-08
52,28,351.2,2023-05-08
53,30,478.0,2023-05-08
54,30,554.7,2023-05-08
55,30,327.0,2023-05-08
56,27,343.6,2023-05-08
57,30,341.0,2023-05-08
58,30,637.1,2023-05-08
59,27,374.5,2023-05-08
60,30,377.7,2023-05-08
61,30,463.3,2023-05-08
62,26,291.3,2023-05-08
63,27,287.9,2023-05-08
64,27,252.5,2023-05-08
65,28,349.5,2023-05-08
