,level,power,date
0,30,437.9,2023-05-08
1,27,493.9,2023-05-08
2,30,475.3,2023-05-08
3,29,455.3,2023-05-08
4,29,368.2,2023-05-08
5,30,511.8,2023-05-08
6,30,440.7,2023-05-08
7,16,44.5,2023-05-08
8,30,575.8,2023-05-08
9,27,235.1,2023-05-08
10,28,408.2,2023-05-08
11,26,436.1,2023-05-08
12,30,534.5,2023-05-08
13,26,385.8,2023-05-08
14,30,540.3,2023-05-08
15,27,379.8,2023-05-08
16,29,354.1,2023-05-08
17,27,317.4,2023-05-08
18,30,404.7,2023-05-08
19,30,423.8,2023-05-08
20,29,335.0,2023-05-08
21,27,386.2,2023-05-08
22,30,540.4,2023-05-08
23,24,254.0,2023-05-08
24,30,410.5,2023-05-08
25,29,337.2,2023-05-08
26,26,321.4,2023-05-08
27,30,429.6,2023-05-08
28,28,409.1,2023-05-08
29,29,394.9,2023-05-08
30,29,387.8,2023-05-08
31,28,362.8,2023-05-08
32,29,391.1,2023-05-08
33,26,246.9,2023-05-08
34,28,367.5,2023-05-08
35,27,380.3,2023-05-08
36,29,369.1,2023-05-08
37,29,336.9,2023-05-08
38,23,149.9,2023-05-08
39,27,331.4,2023-05-08
40,29,348.2,2023-05-08
41,25,267.7,2023-05-08
42,8,7.2,2023-05-08
43,27,362.8,2023-05-08
44,27,281.3,2023-05-08
45,28,395.0,2023-05-08
46,29,277.0,2023-05-08
47,24,254.8,2023-05-08
48,28,336.0,2023-05-08
49,23,286.3,2023-05-08
50,1,25.9,2023-05-08
51,29,378.2,2023-05-08
52,28,356.5,2023-05-08
53,12,30.6,2023-05-08
54,27,292.8,2023-05-08
55,28,300.9,2023-05-08
56,26,280.7,2023-05-08
57,28,319.6,2023-05-08
58,25,239.4,2023-05-08
59,26,195.8,2023-05-08
60,26,178.3,2023-05-08
61,29,387.3,2023-05-08
62,28,366.2,2023-05-08
63,29,331.8,2023-05-08
64,29,367.6,2023-05-08
65,22,179.0,2023-05-08
66,25,191.3,2023-05-08
