,level,power,date
0,30,499.7,2023-05-08
1,30,707.1,2023-05-08
2,30,743.8,2023-05-08
3,30,428.4,2023-05-08
4,30,757.1,2023-05-08
5,30,728.6,2023-05-08
6,30,643.7,2023-05-08
7,30,593.0,2023-05-08
8,30,544.0,2023-05-08
9,30,536.9,2023-05-08
10,30,535.0,2023-05-08
11,30,499.8,2023-05-08
12,30,491.6,2023-05-08
13,30,465.7,2023-05-08
14,30,437.8,2023-05-08
15,30,428.8,2023-05-08
16,29,425.5,2023-05-08
17,28,435.7,2023-05-08
18,27,390.9,2023-05-08
19,27,383.0,2023-05-08
20,27,244.5,2023-05-08
21,26,312.8,2023-05-08
22,29,412.6,2023-05-08
23,30,636.1,2023-05-08
24,30,576.1,2023-05-08
25,29,391.7,2023-05-08
26,27,411.2,2023-05-08
27,30,435.8,2023-05-08
28,29,363.9,2023-05-08
29,29,334.7,2023-05-08
30,30,402.4,2023-05-08
31,30,603.4,2023-05-08
32,26,246.0,2023-05-08
33,29,542.7,2023-05-08
34,30,458.1,2023-05-08
35,29,342.8,2023-05-08
36,29,425.7,2023-05-08
37,27,288.7,2023-05-08
38,28,296.9,2023-05-08
39,27,334.3,2023-05-08
40,26,300.7,2023-05-08
41,30,472.5,2023-05-08
42,30,551.7,2023-05-08
43,25,339.1,2023-05-08
44,24,268.3,2023-05-08
45,30,483.2,2023-05-08
46,27,310.4,2023-05-08
47,26,239.5,2023-05-08
48,30,446.9,2023-05-08
49,26,330.9,2023-05-08
50,26,353.2,2023-05-08
51,29,338.8,2023-05-08
52,14,21.9,2023-05-08
53,30,404.8,2023-05-08
54,30,505.7,2023-05-08
55,24,189.8,2023-05-08
56,27,3.1,2023-05-08
57,29,422.8,2023-05-08
58,30,343.0,2023-05-08
59,27,255.1,2023-05-08
60,24,196.2,2023-05-08
61,25,304.5,2023-05-08
62,28,263.9,2023-05-08
63,30,463.2,2023-05-08
64,25,179.1,2023-05-08
65,28,284.7,2023-05-08
66,27,199.1,2023-05-08
67,30,371.4,2023-05-08
