,level,power,date
0,30,940.1,2023-05-08
1,30,732.8,2023-05-08
2,30,410.3,2023-05-08
3,29,366.3,2023-05-08
4,30,734.8,2023-05-08
5,30,691.0,2023-05-08
6,30,600.8,2023-05-08
7,30,592.8,2023-05-08
8,30,576.8,2023-05-08
9,30,572.3,2023-05-08
10,30,566.6,2023-05-08
11,30,552.1,2023-05-08
12,30,552.0,2023-05-08
13,30,551.9,2023-05-08
14,30,542.9,2023-05-08
15,30,538.2,2023-05-08
16,30,526.5,2023-05-08
17,30,524.8,2023-05-08
18,30,520.5,2023-05-08
19,30,515.6,2023-05-08
20,30,515.0,2023-05-08
21,30,506.5,2023-05-08
22,30,499.0,2023-05-08
23,30,467.7,2023-05-08
24,30,438.6,2023-05-08
25,30,438.6,2023-05-08
26,28,355.0,2023-05-08
27,27,395.4,2023-05-08
28,30,662.1,2023-05-08
29,30,574.0,2023-05-08
30,30,586.3,2023-05-08
31,30,433.4,2023-05-08
32,30,497.6,2023-05-08
33,30,519.6,2023-05-08
34,30,700.4,2023-05-08
35,27,380.0,2023-05-08
36,30,413.5,2023-05-08
37,30,559.7,2023-05-08
38,30,564.8,2023-05-08
39,30,612.2,2023-05-08
40,27,350.0,2023-05-08
41,30,385.6,2023-05-08
42,30,662.8,2023-05-08
43,30,616.0,2023-05-08
44,30,522.5,2023-05-08
45,30,515.6,2023-05-08
46,30,530.8,2023-05-08
47,28,391.8,2023-05-08
48,30,374.2,2023-05-08
49,29,440.7,2023-05-08
50,30,623.8,2023-05-08
51,29,322.7,2023-05-08
52,30,561.4,2023-05-08
53,30,627.3,2023-05-08
54,30,406.4,2023-05-08
55,30,510.3,2023-05-08
56,28,423.5,2023-05-08
57,30,460.2,2023-05-08
58,30,421.0,2023-05-08
59,27,263.1,2023-05-08
60,30,530.4,2023-05-08
61,30,665.0,2023-05-08
62,30,409.8,2023-05-08
63,30,367.1,2023-05-08
64,30,428.7,2023-05-08
65,29,353.1,2023-05-08
66,30,351.8,2023-05-08
67,26,207.2,2023-05-08
68,30,429.4,2023-05-08
69,28,382.9,2023-05-08
