,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,level,power,date
0,0,0,0,0,0,30,658.7,2023-05-21
1,1,1,1,1,1,30,605.6,2023-05-21
2,2,2,2,2,2,30,712.5,2023-05-21
3,3,3,3,3,3,30,533.4,2023-05-21
4,4,4,4,4,4,30,651.9,2023-05-21
5,5,5,5,5,5,30,614.3,2023-05-21
6,6,6,6,6,6,30,606.1,2023-05-21
7,7,7,7,7,7,30,572.9,2023-05-21
8,8,8,8,8,8,30,505.8,2023-05-21
9,9,9,9,9,9,28,440.6,2023-05-21
10,10,10,10,10,10,30,615.8,2023-05-21
11,11,11,11,11,11,30,500.6,2023-05-21
12,12,12,12,12,12,30,585.0,2023-05-21
13,13,13,13,13,13,30,603.2,2023-05-21
14,14,14,14,14,14,29,351.0,2023-05-21
15,15,15,15,15,15,30,633.4,2023-05-21
16,16,16,16,16,16,28,412.0,2023-05-21
17,17,17,17,17,17,30,451.9,2023-05-21
18,18,18,18,18,18,30,500.2,2023-05-21
19,19,19,19,19,19,30,592.7,2023-05-21
20,20,20,20,20,20,30,480.1,2023-05-21
21,21,21,21,21,21,29,472.9,2023-05-21
22,22,22,22,22,22,30,632.4,2023-05-21
23,23,23,23,23,23,30,570.4,2023-05-21
24,24,24,24,24,24,30,576.8,2023-05-21
25,25,25,25,25,25,30,614.7,2023-05-21
26,26,26,26,26,26,30,461.8,2023-05-21
27,27,27,27,27,27,30,499.7,2023-05-21
28,28,28,28,28,28,30,582.1,2023-05-21
29,29,29,29,29,29,30,349.9,2023-05-21
30,30,30,30,30,30,30,489.3,2023-05-21
31,31,31,31,31,31,30,512.1,2023-05-21
32,32,32,32,32,32,29,434.3,2023-05-21
33,33,33,33,33,33,30,496.9,2023-05-21
34,34,34,34,34,34,30,531.1,2023-05-21
35,35,35,35,35,35,30,653.9,2023-05-21
36,36,36,36,36,36,30,507.6,2023-05-21
37,37,37,37,37,37,30,468.3,2023-05-21
38,38,38,38,38,38,30,688.0,2023-05-21
39,39,39,39,39,39,27,345.8,2023-05-21
40,40,40,40,40,40,30,481.5,2023-05-21
41,41,41,41,41,41,30,560.2,2023-05-21
42,42,42,42,42,42,30,452.9,2023-05-21
43,43,43,43,43,43,27,375.8,2023-05-21
44,44,44,44,44,44,30,536.8,2023-05-21
45,45,45,45,45,45,30,526.0,2023-05-21
46,46,46,46,46,46,30,556.8,2023-05-21
47,47,47,47,47,47,30,323.4,2023-05-21
48,48,48,48,48,48,30,500.6,2023-05-21
49,49,49,49,49,49,30,529.1,2023-05-21
50,50,50,50,50,50,30,415.9,2023-05-21
51,51,51,51,51,51,30,319.1,2023-05-21
52,52,52,52,52,52,30,410.0,2023-05-21
53,53,53,53,53,53,30,360.5,2023-05-21
