level,power
30,793.9
30,526
30,455.1
30,492.7
30,452.3
27,349.6
25,254.8
28,396.1
30,429.4
30,438.9
29,406.7
27,369.2
30,548.3
27,294.1
30,474.3
30,503.1
30,505.6
26,287
30,421.9
29,472.8
27,433.9
29,268.5
26,343
24,271.6
29,437.2
25,410.8
30,506.4
29,390.5
23,259
27,404.2
24,319.8
26,220.3
30,551
28,391.2
27,319.9
29,329.4
23,199.8
30,532.7
27,322.7
26,292.4
26,204.7
25,336.8
24,260.3
27,261.1
25,249.1
22,132.3
26,192.5
28,211.7
27,296.5
24,262.3
24,294.7
23,187.9
24,166.3
27,325.1
26,242.9
27,286.4
28,440.3
26,227.6
24,147.8
23,226.8
23,199.5
24,181.2
30,522.5
27,297.2
28,386.4
28,325.1
28,413
