level,power
30,608.1
30,513.6
30,545.2
30,476.8
30,551.3
30,456.7
25,353.8
29,310
30,553.2
30,446.7
30,548.7
30,511.9
29,485.2
30,473.3
29,535.7
26,350.3
30,450
28,429.4
16,29.5
30,540.1
7,44.5
30,399.7
30,491.2
30,439.5
28,379
29,471.2
28,366.3
30,504.2
28,342.1
30,356.8
27,360.4
29,317.5
30,388.6
26,313.6
27,376.6
28,371.4
28,337.4
9,10.1
26,299.6
17,58.3
29,317.5
30,535.4
30,428.4
29,391.4
30,523
28,348.9
13,22.5
24,193.2
24,161.4
24,195.1
24,173
5,39.5
29,351.3
10,9.2
24,199.8
7,6.2
25,185.5
27,371.7
30,468.6
30,384.5
30,424.2
30,397.6
