,Unnamed: 0,level,power,date
0,0,30,567.5,2023-05-26
1,1,30,602.5,2023-05-26
2,2,30,587.5,2023-05-26
3,3,30,682.7,2023-05-26
4,4,30,496.1,2023-05-26
5,5,30,516.1,2023-05-26
6,6,30,485.3,2023-05-26
7,7,30,482.0,2023-05-26
8,8,30,439.9,2023-05-26
9,9,28,419.1,2023-05-26
10,10,28,364.8,2023-05-26
11,11,27,350.0,2023-05-26
12,12,25,250.2,2023-05-26
13,13,27,402.0,2023-05-26
14,14,30,590.6,2023-05-26
15,15,30,419.9,2023-05-26
16,16,30,512.7,2023-05-26
17,17,27,324.7,2023-05-26
18,18,30,576.9,2023-05-26
19,19,27,303.6,2023-05-26
20,20,30,468.2,2023-05-26
21,21,30,511.6,2023-05-26
22,22,29,411.5,2023-05-26
23,23,27,257.8,2023-05-26
24,24,29,417.0,2023-05-26
25,25,24,253.2,2023-05-26
26,26,26,237.6,2023-05-26
27,27,29,410.8,2023-05-26
28,28,27,176.8,2023-05-26
29,29,28,203.3,2023-05-26
30,30,25,248.7,2023-05-26
31,31,30,455.9,2023-05-26
32,32,29,389.9,2023-05-26
33,33,25,333.0,2023-05-26
34,34,30,419.7,2023-05-26
35,35,28,260.3,2023-05-26
36,36,27,336.8,2023-05-26
37,37,29,365.7,2023-05-26
38,38,26,282.3,2023-05-26
39,39,26,215.9,2023-05-26
40,40,30,487.3,2023-05-26
41,41,30,468.5,2023-05-26
42,42,27,294.7,2023-05-26
43,43,25,325.9,2023-05-26
44,44,29,345.7,2023-05-26
45,45,26,159.3,2023-05-26
46,46,30,415.7,2023-05-26
47,47,27,282.5,2023-05-26
48,48,29,341.2,2023-05-26
49,49,26,264.8,2023-05-26
50,50,28,288.1,2023-05-26
51,51,30,432.9,2023-05-26
52,52,27,327.4,2023-05-26
