,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,level,power,date
0,0,0,0,0,0,0,0,30,556.9,2023-05-21
1,1,1,1,1,1,1,1,30,472.1,2023-05-21
2,2,2,2,2,2,2,2,30,434.4,2023-05-21
3,3,3,3,3,3,3,3,30,455.4,2023-05-21
4,4,4,4,4,4,4,4,27,526.2,2023-05-21
5,5,5,5,5,5,5,5,29,449.4,2023-05-21
6,6,6,6,6,6,6,6,27,408.0,2023-05-21
7,7,7,7,7,7,7,7,26,289.7,2023-05-21
8,8,8,8,8,8,8,8,26,254.5,2023-05-21
9,9,9,9,9,9,9,9,24,300.1,2023-05-21
10,10,10,10,10,10,10,10,24,267.7,2023-05-21
11,11,11,11,11,11,11,11,21,166.6,2023-05-21
12,12,12,12,12,12,12,12,27,419.6,2023-05-21
13,13,13,13,13,13,13,13,27,358.8,2023-05-21
14,14,14,14,14,14,14,14,27,321.7,2023-05-21
15,15,15,15,15,15,15,15,26,289.3,2023-05-21
16,16,16,16,16,16,16,16,23,283.2,2023-05-21
17,17,17,17,17,17,17,17,22,246.3,2023-05-21
18,18,18,18,18,18,18,18,25,327.6,2023-05-21
19,19,19,19,19,19,19,19,24,283.0,2023-05-21
20,20,20,20,20,20,20,20,27,327.4,2023-05-21
21,21,21,21,21,21,21,21,25,294.0,2023-05-21
22,22,22,22,22,22,22,22,19,140.9,2023-05-21
23,23,23,23,23,23,23,23,23,239.6,2023-05-21
24,24,24,24,24,24,24,24,25,255.6,2023-05-21
25,25,25,25,25,25,25,25,23,293.0,2023-05-21
26,26,26,26,26,26,26,26,26,338.9,2023-05-21
27,27,27,27,27,27,27,27,30,488.9,2023-05-21
28,28,28,28,28,28,28,28,29,237.3,2023-05-21
29,29,29,29,29,29,29,29,25,228.0,2023-05-21
30,30,30,30,30,30,30,30,27,353.4,2023-05-21
31,31,31,31,31,31,31,31,27,242.6,2023-05-21
32,32,32,32,32,32,32,32,24,253.5,2023-05-21
33,33,33,33,33,33,33,33,27,259.1,2023-05-21
34,34,34,34,34,34,34,34,28,401.5,2023-05-21
35,35,35,35,35,35,35,35,26,332.8,2023-05-21
36,36,36,36,36,36,36,36,25,351.1,2023-05-21
37,37,37,37,37,37,37,37,25,307.5,2023-05-21
38,38,38,38,38,38,38,38,23,251.1,2023-05-21
39,39,39,39,39,39,39,39,25,285.4,2023-05-21
40,40,40,40,40,40,40,40,27,318.0,2023-05-21
41,41,41,41,41,41,41,41,30,390.2,2023-05-21
42,42,42,42,42,42,42,42,27,264.3,2023-05-21
43,43,43,43,43,43,43,43,24,241.7,2023-05-21
44,44,44,44,44,44,44,44,23,183.2,2023-05-21
45,45,45,45,45,45,45,45,24,257.1,2023-05-21
46,46,46,46,46,46,46,46,25,218.1,2023-05-21
47,47,47,47,47,47,47,47,27,312.4,2023-05-21
48,48,48,48,48,48,48,48,25,274.6,2023-05-21
49,49,49,49,49,49,49,49,23,228.1,2023-05-21
50,50,50,50,50,50,50,50,23,135.9,2023-05-21
51,51,51,51,51,51,51,51,24,204.3,2023-05-21
52,52,52,52,52,52,52,52,25,187.6,2023-05-21
53,53,53,53,53,53,53,53,24,164.6,2023-05-21
54,54,54,54,54,54,54,54,24,160.2,2023-05-21
55,55,55,55,55,55,55,55,25,269.2,2023-05-21
56,56,56,56,56,56,56,56,23,229.5,2023-05-21
57,57,57,57,57,57,57,57,22,131.8,2023-05-21
58,58,58,58,58,58,58,58,21,92.6,2023-05-21
59,59,59,59,59,59,59,59,22,121.5,2023-05-21
60,60,60,60,60,60,60,60,23,171.9,2023-05-21
61,61,61,61,61,61,61,61,21,111.6,2023-05-21
62,62,62,62,62,62,62,62,22,117.4,2023-05-21
63,63,63,63,63,63,63,63,23,159.5,2023-05-21
64,64,64,64,64,64,64,64,23,134.9,2023-05-21
65,65,65,65,65,65,65,65,18,95.6,2023-05-21
66,66,66,66,66,66,66,66,19,106.2,2023-05-21
