,level,power,date
0,30,590.1,2023-05-09
1,30,600.0,2023-05-09
2,30,590.1,2023-05-09
3,30,560.9,2023-05-09
4,30,644.2,2023-05-09
5,29,409.6,2023-05-09
6,28,474.0,2023-05-09
7,28,278.5,2023-05-09
8,30,452.4,2023-05-09
9,30,579.8,2023-05-09
10,30,524.7,2023-05-09
11,30,521.9,2023-05-09
12,29,395.4,2023-05-09
13,29,444.6,2023-05-09
14,26,332.1,2023-05-09
15,28,382.7,2023-05-09
16,26,390.3,2023-05-09
17,30,613.3,2023-05-09
18,30,615.2,2023-05-09
19,28,359.9,2023-05-09
20,25,263.4,2023-05-09
21,28,302.2,2023-05-09
22,26,242.5,2023-05-09
23,30,488.2,2023-05-09
24,30,536.9,2023-05-09
25,27,353.0,2023-05-09
26,28,452.0,2023-05-09
27,29,414.7,2023-05-09
28,29,456.2,2023-05-09
29,23,186.5,2023-05-09
30,30,412.0,2023-05-09
31,30,460.8,2023-05-09
32,30,423.9,2023-05-09
33,29,490.8,2023-05-09
34,26,410.9,2023-05-09
35,30,516.7,2023-05-09
36,30,472.3,2023-05-09
37,29,403.9,2023-05-09
38,30,438.6,2023-05-09
39,29,396.2,2023-05-09
40,30,471.0,2023-05-09
41,30,437.1,2023-05-09
42,30,434.2,2023-05-09
43,29,419.8,2023-05-09
44,27,387.0,2023-05-09
45,26,302.9,2023-05-09
46,29,358.8,2023-05-09
47,28,397.4,2023-05-09
48,25,308.6,2023-05-09
49,26,347.2,2023-05-09
50,27,290.1,2023-05-09
51,29,396.0,2023-05-09
52,24,265.5,2023-05-09
53,27,326.6,2023-05-09
54,26,185.1,2023-05-09
55,26,332.6,2023-05-09
56,28,254.4,2023-05-09
57,23,132.2,2023-05-09
58,25,294.7,2023-05-09
59,25,348.2,2023-05-09
60,30,413.7,2023-05-09
61,30,494.7,2023-05-09
62,30,579.2,2023-05-09
