,Unnamed: 0.1,Unnamed: 0,level,power,date
0,0,0,30,572.1,2023-05-21
1,1,1,30,691.3,2023-05-21
2,2,2,30,653.4,2023-05-21
3,3,3,30,475.5,2023-05-21
4,4,4,30,543.0,2023-05-21
5,5,5,30,612.6,2023-05-21
6,6,6,30,536.0,2023-05-21
7,7,7,30,521.9,2023-05-21
8,8,8,30,520.4,2023-05-21
9,9,9,30,496.9,2023-05-21
10,10,10,30,442.3,2023-05-21
11,11,11,30,392.9,2023-05-21
12,12,12,29,439.7,2023-05-21
13,13,13,29,401.4,2023-05-21
14,14,14,30,526.6,2023-05-21
15,15,15,30,554.4,2023-05-21
16,16,16,30,635.6,2023-05-21
17,17,17,30,472.4,2023-05-21
18,18,18,29,284.9,2023-05-21
19,19,19,30,434.7,2023-05-21
20,20,20,30,660.0,2023-05-21
21,21,21,29,454.0,2023-05-21
22,22,22,30,625.3,2023-05-21
23,23,23,30,455.3,2023-05-21
24,24,24,30,502.9,2023-05-21
25,25,25,30,505.6,2023-05-21
26,26,26,28,395.6,2023-05-21
27,27,27,30,689.7,2023-05-21
28,28,28,30,516.8,2023-05-21
29,29,29,30,809.3,2023-05-21
30,30,30,29,386.5,2023-05-21
31,31,31,29,381.0,2023-05-21
32,32,32,29,356.3,2023-05-21
33,33,33,30,566.6,2023-05-21
34,34,34,30,530.9,2023-05-21
35,35,35,30,449.2,2023-05-21
36,36,36,30,558.1,2023-05-21
37,37,37,26,320.3,2023-05-21
38,38,38,28,464.9,2023-05-21
39,39,39,27,331.4,2023-05-21
40,40,40,30,471.4,2023-05-21
41,41,41,30,521.2,2023-05-21
42,42,42,30,503.0,2023-05-21
43,43,43,30,456.4,2023-05-21
44,44,44,30,539.3,2023-05-21
45,45,45,30,570.1,2023-05-21
46,46,46,27,357.7,2023-05-21
47,47,47,28,365.6,2023-05-21
48,48,48,30,702.3,2023-05-21
49,49,49,26,260.1,2023-05-21
50,50,50,26,266.7,2023-05-21
51,51,51,29,388.4,2023-05-21
52,52,52,30,467.7,2023-05-21
53,53,53,30,403.1,2023-05-21
54,54,54,27,319.3,2023-05-21
55,55,55,30,565.8,2023-05-21
56,56,56,30,392.4,2023-05-21
57,57,57,29,271.0,2023-05-21
