,level,power,date
0,30,605.5,2023-05-09
1,30,562.1,2023-05-09
2,30,559.9,2023-05-09
3,30,543.6,2023-05-09
4,30,524.1,2023-05-09
5,30,529.9,2023-05-09
6,30,471.2,2023-05-09
7,30,464.0,2023-05-09
8,29,368.4,2023-05-09
9,28,334.4,2023-05-09
10,26,281.5,2023-05-09
11,29,403.8,2023-05-09
12,24,241.5,2023-05-09
13,30,406.0,2023-05-09
14,30,567.4,2023-05-09
15,30,571.1,2023-05-09
16,28,369.1,2023-05-09
17,30,433.3,2023-05-09
18,30,481.3,2023-05-09
19,30,446.1,2023-05-09
20,30,695.0,2023-05-09
21,30,555.8,2023-05-09
22,30,496.5,2023-05-09
23,30,459.0,2023-05-09
24,29,449.3,2023-05-09
25,29,365.0,2023-05-09
26,29,357.2,2023-05-09
27,24,159.0,2023-05-09
28,28,204.3,2023-05-09
29,30,377.7,2023-05-09
30,28,334.6,2023-05-09
31,29,412.7,2023-05-09
32,30,429.5,2023-05-09
33,27,275.6,2023-05-09
34,29,397.5,2023-05-09
35,29,396.4,2023-05-09
36,28,350.0,2023-05-09
37,30,553.0,2023-05-09
38,26,270.1,2023-05-09
39,29,362.6,2023-05-09
40,28,322.5,2023-05-09
41,21,101.1,2023-05-09
42,30,428.8,2023-05-09
43,29,430.3,2023-05-09
44,30,472.6,2023-05-09
45,30,452.8,2023-05-09
46,30,522.2,2023-05-09
47,1,65.3,2023-05-09
48,27,265.1,2023-05-09
49,18,50.5,2023-05-09
50,25,263.0,2023-05-09
51,28,316.2,2023-05-09
52,29,364.5,2023-05-09
53,26,268.1,2023-05-09
54,25,302.4,2023-05-09
55,30,574.7,2023-05-09
56,26,196.6,2023-05-09
57,15,28.3,2023-05-09
58,27,178.7,2023-05-09
59,30,436.5,2023-05-09
60,30,465.8,2023-05-09
61,29,410.1,2023-05-09
62,28,219.1,2023-05-09
63,29,397.3,2023-05-09
64,29,354.3,2023-05-09
