,level,power,date
0,27,351.6,2023-05-21
1,28,349.9,2023-05-21
2,30,344.3,2023-05-21
3,23,224.3,2023-05-21
4,29,392.6,2023-05-21
5,29,354.6,2023-05-21
6,25,246.2,2023-05-21
7,24,234.0,2023-05-21
8,24,233.3,2023-05-21
9,26,351.9,2023-05-21
10,25,207.5,2023-05-21
11,24,191.2,2023-05-21
12,23,173.2,2023-05-21
13,25,245.5,2023-05-21
14,21,168.7,2023-05-21
15,29,343.1,2023-05-21
16,27,344.1,2023-05-21
17,29,378.9,2023-05-21
18,30,431.3,2023-05-21
19,23,129.7,2023-05-21
20,29,364.3,2023-05-21
21,27,289.6,2023-05-21
22,27,341.2,2023-05-21
23,24,313.9,2023-05-21
24,26,311.6,2023-05-21
25,26,261.2,2023-05-21
26,26,209.9,2023-05-21
27,25,206.1,2023-05-21
28,25,196.0,2023-05-21
29,27,245.7,2023-05-21
30,29,320.3,2023-05-21
31,20,137.8,2023-05-21
32,26,206.9,2023-05-21
33,11,21.1,2023-05-21
34,18,55.9,2023-05-21
