,Unnamed: 0,level,power,date
0,0,30,488.3,2023-05-26
1,1,30,432.1,2023-05-26
2,2,30,442.7,2023-05-26
3,3,30,478.3,2023-05-26
4,4,30,471.8,2023-05-26
5,5,30,455.2,2023-05-26
6,6,30,454.6,2023-05-26
7,7,30,450.2,2023-05-26
8,8,30,437.0,2023-05-26
9,9,30,410.1,2023-05-26
10,10,29,342.8,2023-05-26
11,11,28,378.3,2023-05-26
12,12,28,359.6,2023-05-26
13,13,27,282.1,2023-05-26
14,14,30,358.2,2023-05-26
15,15,29,346.1,2023-05-26
16,16,29,373.9,2023-05-26
17,17,19,90.7,2023-05-26
18,18,27,210.4,2023-05-26
19,19,28,366.7,2023-05-26
20,20,27,325.0,2023-05-26
21,21,29,414.1,2023-05-26
22,22,28,360.8,2023-05-26
23,23,30,463.0,2023-05-26
24,24,30,474.5,2023-05-26
25,25,29,338.8,2023-05-26
26,26,29,405.3,2023-05-26
27,27,28,324.7,2023-05-26
28,28,30,420.1,2023-05-26
29,29,25,277.0,2023-05-26
30,30,25,279.3,2023-05-26
31,31,29,303.2,2023-05-26
32,32,29,357.3,2023-05-26
33,33,28,409.6,2023-05-26
34,34,25,231.2,2023-05-26
35,35,28,373.7,2023-05-26
36,36,25,224.4,2023-05-26
37,37,25,333.2,2023-05-26
38,38,25,197.0,2023-05-26
39,39,28,240.7,2023-05-26
40,40,27,311.4,2023-05-26
41,41,26,205.5,2023-05-26
42,42,28,351.4,2023-05-26
43,43,25,308.8,2023-05-26
44,44,26,252.6,2023-05-26
45,45,28,294.6,2023-05-26
46,46,29,324.3,2023-05-26
47,47,24,205.8,2023-05-26
48,48,27,231.6,2023-05-26
49,49,27,290.0,2023-05-26
50,50,27,240.8,2023-05-26
51,51,28,268.6,2023-05-26
52,52,26,209.9,2023-05-26
53,53,26,268.1,2023-05-26
54,54,24,239.2,2023-05-26
