,level,power,date
0,25.0,297.0,2023-05-21
1,24.0,179.6,2023-05-21
2,24.0,264.0,2023-05-21
3,25.0,180.7,2023-05-21
4,24.0,178.8,2023-05-21
5,18.0,75.4,2023-05-21
6,24.0,282.9,2023-05-21
7,22.0,125.1,2023-05-21
8,24.0,205.2,2023-05-21
9,24.0,270.1,2023-05-21
10,23.0,201.0,2023-05-21
11,23.0,151.7,2023-05-21
12,27.0,337.9,2023-05-21
13,24.0,281.3,2023-05-21
14,20.0,163.3,2023-05-21
15,25.0,258.7,2023-05-21
16,26.0,270.1,2023-05-21
17,2.0,175.7,2023-05-21
18,22.0,233.5,2023-05-21
19,20.0,119.2,2023-05-21
20,22.0,158.0,2023-05-21
21,22.0,95.6,2023-05-21
22,22.0,123.4,2023-05-21
23,21.0,166.2,2023-05-21
24,25.0,192.6,2023-05-21
25,22.0,101.6,2023-05-21
26,20.0,152.0,2023-05-21
27,26.0,221.8,2023-05-21
28,19.0,106.8,2023-05-21
29,23.0,130.9,2023-05-21
30,23.0,210.8,2023-05-21
31,21.0,152.6,2023-05-21
32,25.0,156.7,2023-05-21
33,22.0,97.1,2023-05-21
34,22.0,113.6,2023-05-21
35,20.0,112.9,2023-05-21
36,24.0,241.2,2023-05-21
37,20.0,62.1,2023-05-21
38,2.0,13.0,2023-05-21
39,22.0,91.2,2023-05-21
40,22.0,115.9,2023-05-21
41,21.0,106.9,2023-05-21
42,,19.3,2023-05-21
43,23.0,173.1,2023-05-21
44,2.0,117.8,2023-05-21
45,23.0,142.7,2023-05-21
46,22.0,127.5,2023-05-21
47,21.0,136.1,2023-05-21
48,21.0,150.6,2023-05-21
49,21.0,108.9,2023-05-21
50,20.0,112.5,2023-05-21
51,22.0,117.9,2023-05-21
52,19.0,104.0,2023-05-21
53,20.0,148.0,2023-05-21
54,21.0,148.0,2023-05-21
55,24.0,174.0,2023-05-21
56,18.0,73.0,2023-05-21
