,level,power,date
0,30,516.3,2023-05-24
1,30,907.1,2023-05-24
2,30,421.9,2023-05-24
3,30,421.2,2023-05-24
4,30,402.8,2023-05-24
5,30,608.3,2023-05-24
6,30,556.5,2023-05-24
7,30,408.5,2023-05-24
8,30,400.3,2023-05-24
9,29,390.2,2023-05-24
10,29,347.6,2023-05-24
11,28,383.0,2023-05-24
12,27,366.4,2023-05-24
13,30,634.5,2023-05-24
14,27,401.3,2023-05-24
15,30,610.1,2023-05-24
16,30,460.1,2023-05-24
17,25,216.0,2023-05-24
18,30,572.2,2023-05-24
19,30,516.8,2023-05-24
20,30,413.3,2023-05-24
21,30,666.2,2023-05-24
22,28,410.5,2023-05-24
23,30,624.9,2023-05-24
24,29,359.5,2023-05-24
25,29,401.7,2023-05-24
26,28,375.4,2023-05-24
27,27,275.6,2023-05-24
28,26,261.6,2023-05-24
29,29,357.6,2023-05-24
30,27,305.1,2023-05-24
31,28,375.4,2023-05-24
32,29,343.8,2023-05-24
33,26,318.3,2023-05-24
34,29,359.7,2023-05-24
35,25,300.6,2023-05-24
36,29,352.2,2023-05-24
37,28,347.7,2023-05-24
38,29,373.3,2023-05-24
39,27,314.7,2023-05-24
40,26,300.6,2023-05-24
41,27,327.1,2023-05-24
42,26,267.6,2023-05-24
43,28,351.6,2023-05-24
44,28,301.4,2023-05-24
45,26,209.0,2023-05-24
46,30,489.0,2023-05-24
47,23,219.1,2023-05-24
48,27,252.4,2023-05-24
49,30,730.7,2023-05-24
50,22,77.1,2023-05-24
51,24,255.6,2023-05-24
52,30,387.9,2023-05-24
53,30,397.2,2023-05-24
54,29,326.3,2023-05-24
