,level,power,date
0,29,347.0,2023-05-10
1,28,320.4,2023-05-10
2,28,360.5,2023-05-10
3,28,333.3,2023-05-10
4,28,342.2,2023-05-10
5,28,361.2,2023-05-10
6,28,357.2,2023-05-10
7,27,303.6,2023-05-10
8,26,324.4,2023-05-10
9,28,316.0,2023-05-10
10,26,306.9,2023-05-10
11,27,318.4,2023-05-10
12,27,332.1,2023-05-10
13,28,303.3,2023-05-10
14,26,231.9,2023-05-10
15,28,288.3,2023-05-10
16,25,298.0,2023-05-10
17,30,443.2,2023-05-10
18,27,320.2,2023-05-10
19,28,328.6,2023-05-10
20,29,358.9,2023-05-10
21,28,357.2,2023-05-10
22,27,325.9,2023-05-10
23,28,370.0,2023-05-10
24,26,313.2,2023-05-10
25,27,366.0,2023-05-10
26,28,325.4,2023-05-10
27,19,68.9,2023-05-10
28,27,282.2,2023-05-10
29,2,67.6,2023-05-10
30,24,313.4,2023-05-10
31,28,329.9,2023-05-10
32,27,371.8,2023-05-10
33,27,292.9,2023-05-10
34,27,265.3,2023-05-10
35,26,205.3,2023-05-10
36,23,134.4,2023-05-10
37,27,229.4,2023-05-10
38,26,255.4,2023-05-10
39,25,215.6,2023-05-10
40,28,286.8,2023-05-10
41,23,165.5,2023-05-10
42,29,335.0,2023-05-10
43,26,192.5,2023-05-10
44,24,284.0,2023-05-10
45,26,201.7,2023-05-10
46,26,270.9,2023-05-10
47,28,298.9,2023-05-10
