,level,power,date
0,30,531.0,2023-05-10
1,30,631.5,2023-05-10
2,30,500.4,2023-05-10
3,30,477.3,2023-05-10
4,30,462.5,2023-05-10
5,30,617.4,2023-05-10
6,30,610.1,2023-05-10
7,30,568.0,2023-05-10
8,30,563.1,2023-05-10
9,30,544.1,2023-05-10
10,30,496.8,2023-05-10
11,30,474.7,2023-05-10
12,30,459.4,2023-05-10
13,30,424.9,2023-05-10
14,29,466.7,2023-05-10
15,29,451.4,2023-05-10
16,29,368.1,2023-05-10
17,29,362.9,2023-05-10
18,29,350.9,2023-05-10
19,29,336.1,2023-05-10
20,29,330.1,2023-05-10
21,28,386.4,2023-05-10
22,28,386.3,2023-05-10
23,28,383.1,2023-05-10
24,28,338.1,2023-05-10
25,28,338.0,2023-05-10
26,27,384.0,2023-05-10
27,27,326.8,2023-05-10
28,26,277.6,2023-05-10
29,29,409.3,2023-05-10
30,30,419.2,2023-05-10
31,29,340.3,2023-05-10
32,30,387.7,2023-05-10
33,28,332.8,2023-05-10
34,27,307.9,2023-05-10
35,26,263.8,2023-05-10
36,30,392.6,2023-05-10
37,27,382.0,2023-05-10
38,29,389.2,2023-05-10
39,30,561.9,2023-05-10
40,28,339.4,2023-05-10
41,28,361.8,2023-05-10
42,26,326.8,2023-05-10
43,29,380.0,2023-05-10
44,29,305.5,2023-05-10
45,29,305.9,2023-05-10
46,29,368.5,2023-05-10
47,28,342.9,2023-05-10
48,29,367.9,2023-05-10
49,30,523.9,2023-05-10
50,27,325.2,2023-05-10
51,30,500.0,2023-05-10
52,28,308.4,2023-05-10
53,29,334.5,2023-05-10
54,30,429.5,2023-05-10
55,29,340.4,2023-05-10
56,28,313.4,2023-05-10
57,28,383.7,2023-05-10
58,28,286.4,2023-05-10
59,28,372.1,2023-05-10
60,29,351.6,2023-05-10
61,27,330.5,2023-05-10
62,30,376.1,2023-05-10
63,26,348.4,2023-05-10
64,27,330.7,2023-05-10
65,30,500.5,2023-05-10
66,29,235.2,2023-05-10
67,29,298.7,2023-05-10
68,29,323.5,2023-05-10
69,30,514.7,2023-05-10
