,level,power,date
0,28,314.2,2023-05-10
1,29,386.2,2023-05-10
2,28,376.5,2023-05-10
3,30,399.0,2023-05-10
4,27,311.8,2023-05-10
5,30,490.9,2023-05-10
6,28,322.3,2023-05-10
7,28,319.6,2023-05-10
8,27,264.9,2023-05-10
9,26,268.6,2023-05-10
10,26,252.8,2023-05-10
11,26,231.7,2023-05-10
12,25,236.1,2023-05-10
13,25,227.0,2023-05-10
14,24,260.9,2023-05-10
15,22,154.9,2023-05-10
16,20,76.5,2023-05-10
17,25,237.4,2023-05-10
18,24,165.2,2023-05-10
19,20,103.1,2023-05-10
20,25,224.0,2023-05-10
21,24,209.0,2023-05-10
22,27,296.8,2023-05-10
23,28,332.6,2023-05-10
24,27,276.7,2023-05-10
25,27,244.9,2023-05-10
26,26,241.9,2023-05-10
27,28,344.9,2023-05-10
28,24,202.0,2023-05-10
29,27,285.9,2023-05-10
30,26,216.7,2023-05-10
31,24,167.9,2023-05-10
32,26,245.6,2023-05-10
33,24,140.9,2023-05-10
34,19,102.1,2023-05-10
35,21,124.0,2023-05-10
36,23,202.2,2023-05-10
37,21,112.0,2023-05-10
38,26,289.0,2023-05-10
39,22,163.9,2023-05-10
40,24,249.0,2023-05-10
41,24,149.8,2023-05-10
42,26,255.2,2023-05-10
43,22,196.3,2023-05-10
44,25,176.3,2023-05-10
45,25,196.7,2023-05-10
46,24,213.2,2023-05-10
47,22,139.6,2023-05-10
48,24,223.5,2023-05-10
49,21,140.9,2023-05-10
50,23,168.7,2023-05-10
51,21,114.5,2023-05-10
52,22,180.6,2023-05-10
53,20,70.3,2023-05-10
