,level,power,date
0,24.0,267.8,2023-05-18
1,22.0,151.2,2023-05-18
2,20.0,68.2,2023-05-18
3,20.0,80.1,2023-05-18
4,20.0,100.1,2023-05-18
5,22.0,104.8,2023-05-18
6,20.0,131.6,2023-05-18
7,22.0,142.7,2023-05-18
8,24.0,105.8,2023-05-18
9,19.0,80.4,2023-05-18
10,15.0,60.9,2023-05-18
11,14.0,26.0,2023-05-18
12,25.0,160.7,2023-05-18
13,17.0,43.2,2023-05-18
14,23.0,150.1,2023-05-18
15,18.0,85.0,2023-05-18
16,21.0,74.7,2023-05-18
17,23.0,117.9,2023-05-18
18,22.0,92.7,2023-05-18
19,21.0,85.9,2023-05-18
20,18.0,51.4,2023-05-18
21,20.0,105.4,2023-05-18
22,16.0,59.6,2023-05-18
23,15.0,33.0,2023-05-18
24,18.0,74.3,2023-05-18
25,18.0,74.4,2023-05-18
26,19.0,85.8,2023-05-18
27,10.0,18.2,2023-05-18
28,17.0,52.4,2023-05-18
29,116.0,37.4,2023-05-18
30,10.0,12.1,2023-05-18
31,,29.1,2023-05-18
32,15.0,34.9,2023-05-18
33,14.0,36.2,2023-05-18
34,14.0,49.0,2023-05-18
35,14.0,34.6,2023-05-18
