,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,level,power,date
0,0,0,0,29,285.6,2023-05-18
1,1,1,1,25,259.6,2023-05-18
2,2,2,2,24,297.2,2023-05-18
3,3,3,3,27,297.4,2023-05-18
4,4,4,4,26,234.7,2023-05-18
5,5,5,5,25,311.6,2023-05-18
6,6,6,6,22,217.3,2023-05-18
7,7,7,7,22,208.4,2023-05-18
8,8,8,8,26,262.6,2023-05-18
9,9,9,9,24,230.1,2023-05-18
10,10,10,10,27,307.7,2023-05-18
11,11,11,11,24,214.4,2023-05-18
12,12,12,12,24,241.5,2023-05-18
13,13,13,13,26,289.4,2023-05-18
14,14,14,14,23,181.1,2023-05-18
15,15,15,15,22,92.2,2023-05-18
16,16,16,16,22,157.9,2023-05-18
17,17,17,17,21,152.8,2023-05-18
18,18,18,18,19,76.3,2023-05-18
19,19,19,19,17,33.0,2023-05-18
20,20,20,20,21,111.8,2023-05-18
21,21,21,21,8,17.7,2023-05-18
22,22,22,22,20,78.8,2023-05-18
23,23,23,23,24,167.5,2023-05-18
24,24,24,24,26,212.1,2023-05-18
25,25,25,25,25,179.2,2023-05-18
26,26,26,26,18,86.2,2023-05-18
27,27,27,27,23,130.0,2023-05-18
28,28,28,28,24,115.2,2023-05-18
29,29,29,29,24,185.9,2023-05-18
30,30,30,30,18,48.3,2023-05-18
31,31,31,31,8,12.5,2023-05-18
32,32,32,32,23,146.0,2023-05-18
33,33,33,33,22,130.1,2023-05-18
34,34,34,34,17,49.9,2023-05-18
