,Unnamed: 0.1,Unnamed: 0,level,power,date
0,0,0,24,198.5,2023-05-26
1,1,1,25,245.0,2023-05-26
2,2,2,25,173.3,2023-05-26
3,3,3,24,216.1,2023-05-26
4,4,4,26,202.6,2023-05-26
5,5,5,28,3.0,2023-05-26
6,6,6,25,166.7,2023-05-26
7,7,7,23,150.1,2023-05-26
8,8,8,23,149.0,2023-05-26
9,9,9,22,210.2,2023-05-26
10,10,10,22,142.8,2023-05-26
11,11,11,22,133.0,2023-05-26
12,12,12,25,193.2,2023-05-26
13,13,13,22,178.2,2023-05-26
14,14,14,23,142.9,2023-05-26
15,15,15,22,107.7,2023-05-26
16,16,16,24,195.9,2023-05-26
17,17,17,21,124.0,2023-05-26
18,18,18,26,190.8,2023-05-26
19,19,19,22,151.8,2023-05-26
20,20,20,22,157.1,2023-05-26
21,21,21,25,184.9,2023-05-26
22,22,22,25,175.0,2023-05-26
23,23,23,23,131.3,2023-05-26
24,24,24,24,165.0,2023-05-26
25,25,25,26,185.9,2023-05-26
26,26,26,23,149.6,2023-05-26
27,27,27,24,162.3,2023-05-26
28,28,28,24,184.3,2023-05-26
29,29,29,23,125.9,2023-05-26
30,30,30,24,133.3,2023-05-26
31,31,31,23,136.0,2023-05-26
32,32,32,23,129.3,2023-05-26
33,33,33,22,161.2,2023-05-26
34,34,34,23,127.6,2023-05-26
35,35,35,23,144.6,2023-05-26
36,36,36,24,175.1,2023-05-26
37,37,37,24,161.0,2023-05-26
38,38,38,24,154.6,2023-05-26
39,39,39,21,124.7,2023-05-26
40,40,40,24,149.0,2023-05-26
41,41,41,23,153.0,2023-05-26
42,42,42,24,156.0,2023-05-26
43,43,43,24,184.7,2023-05-26
44,44,44,24,146.2,2023-05-26
45,45,45,25,179.1,2023-05-26
46,46,46,22,115.6,2023-05-26
47,47,47,23,136.7,2023-05-26
48,48,48,20,109.4,2023-05-26
49,49,49,22,171.1,2023-05-26
50,50,50,21,121.3,2023-05-26
51,51,51,24,138.0,2023-05-26
52,52,52,24,155.2,2023-05-26
53,53,53,21,100.6,2023-05-26
54,54,54,23,138.7,2023-05-26
55,55,55,22,96.7,2023-05-26
56,56,56,22,166.1,2023-05-26
57,57,57,23,129.8,2023-05-26
58,58,58,22,124.9,2023-05-26
59,59,59,22,97.0,2023-05-26
60,60,60,24,191.8,2023-05-26
61,61,61,21,95.7,2023-05-26
62,62,62,24,159.3,2023-05-26
63,63,63,24,179.1,2023-05-26
64,64,64,21,107.4,2023-05-26
65,65,65,24,162.4,2023-05-26
66,66,66,25,163.5,2023-05-26
