Server,Name,Point,Winner,Opp_team_server,Opp_team_name,Opp_team_point
S25,JPF,12200,True,S23,ワグネリアン,11100
S31,切磋琢磨,10000,True,S61,七つの大罪,9100
S11,キングダム,7800,False,S40,風林火山,9100
S3,ひののにとん,10000,False,S33,河瀬家,11100
S23,ワグネリアン,10000,False,S25,JPF,11100
S55,大日本帝国,7800,False,S10,疾風迅雷,8900
S33,河瀬家,12200,True,S3,ひののにとん,11100
S4,為信の野望,7800,False,S50,龍門,9100
S19,風林火山,12200,True,S4,河童衆,11100
S13,キムファーム,7800,False,S62,煉獄,9100
S4,河童衆,10000,False,S19,風林火山,11100
S27,北極ぺんぎん,7800,False,S48,妖精の尻尾,9100
S10,疾風迅雷,10000,True,S55,大日本帝国,8900
S6,素寒貧,12200,True,S60,天神之夜宴,10600
S10,リベルテ,10000,True,S60,八岐大蛇,9100
S44,絆,10000,False,S2,東南高校,10600
S35,いちご大福,9500,False,S5,嶺上開花,10600
S4,一領具足,7300,False,S54,暁2,8600
S5,日本同盟,7300,False,S46,翔龍,8600
S2,東南高校,11700,True,S44,絆,11100
S1,赤鬼衆,9500,True,S17,平泉大膳,8400
S5,嶺上開花,11700,True,S35,いちご大福,10600
S60,天神之夜宴,9500,False,S6,素寒貧,11100
S23,乱れ雪月花,9500,True,S15,餃子の王道,8400
S15,餃子の王道,7300,False,S23,乱れ雪月花,8400
S59,桜梅桃李,9500,False,S56,ひんぬー教,10600
S17,平泉大膳,7300,False,S1,赤鬼衆,8400
S27,寧静致遠,9500,False,S3,星に願いを,10600
S6,農婦の花園,7300,False,S62,一向宗,8600
S3,星に願いを,11700,True,S27,寧静致遠,10600
S33,唯我独尊,9500,True,S60,全狂連,8600
S56,ひんぬー教,11700,True,S59,桜梅桃李,10600
S13,sky,9000,True,S62,雲竜風虎,8046
S60,あおほた部屋,11200,True,S35,珈琲牛乳,10034
S29,神託の護,9000,True,S55,平成維震軍,8100
S60,神々の集い,11200,True,S61,六文銭,9600
S7,真田六文銭,11200,True,S43,殺ver2,9600
S8,巡一家,9000,True,S1,国士無双,7900
S21,滑空傭兵団,9000,False,S29,南海九州,10100
S1,国士無双,6800,False,S8,巡一家,7900
S35,珈琲牛乳,8934,False,S60,あおほた部屋,10100
S60,黄金聖闘士,6866,False,S60,花魁夜宴,7900
S35,希空の箱庭,9000,False,S61,螢,9600
S60,花魁夜宴,9000,True,S60,黄金聖闘士,7966
S8,豊後の月,9000,False,S61,国宝きゃば城,9600
S8,魔王城,6800,False,S6,天衣無縫,7900
S29,南海九州,11200,True,S21,滑空傭兵団,10100
S6,天衣無縫,9000,True,S8,魔王城,7900
S7,気楽に,6300,False,S60,明智家,7400
S61,国宝きゃば城,10700,True,S8,豊後の月,10100
S43,殺ver2,8500,False,S7,真田六文銭,10100
S1,幻影旅団,6300,False,S47,義遊庵,6900
S48,ちむどんどん,8422,False,S61,おにぎり,9600
S52,天嶽衆,8578,True,S62,犬千代,7600
S61,おにぎり,10700,True,S48,ちむどんどん,9522
S15,ドングリーズ,6400,-1,S60,新撰組,6400
S7,真戦組,10700,True,S60,四割菱,9600
S60,明智家,8500,True,S7,気楽に,7400
S48,奉行48,8500,True,S59,対馬,7600
S61,螢,10700,True,S35,希空の箱庭,10100
S39,破天煌武,6300,False,S60,鬼ヶ島,7400
S61,六文銭,8500,False,S60,神々の集い,10100
S60,四割菱,8500,False,S7,真戦組,9600
S60,鬼ヶ島,8500,True,S39,破天煌武,7400
S50,サブライズ,8000,True,S61,風林火山,6400
S60,君臣豊楽,8000,False,S61,紅蓮の華,9100
S40,風林火山,10200,True,S11,キングダム,8900
S60,苺農業高校,5800,False,S60,リオネス,6900
S61,紅蓮の華,10200,True,S60,君臣豊楽,9100
S61,関東軍,5800,False,S61,緋色の翼,6400
S50,龍門,10200,True,S4,為信の野望,8900
S61,麦わらの一味,5800,False,S61,越乃寒梅の団,6900
